People DUDLEY,LS,DUDLEY
Title   Interviewed 2/7/20<br>by Lydia Strohl <>
Speaker 0    00:05:24    So, you know, he, but, um, anyhow, I'm, I'm, I'm fairly certain that that's how, how Bill got here anyhow, they had their law practice there. They, they ne they were never partners, but they shared an office and mm-hmm <affirmative>. Shared a, an assistant. And, um, and then eventually my dad moved his, uh, law office to Leesburg, because, um, that's the county seat of Loudoun County. And so he's here in Middleburg, but you're stuck off in the corner of Loudoun County. And so he spent all this time in Leesburg. Anyhow, so he eventually moved his office there mm-hmm <affirmative>. And, um, then went on to, um, actually become, um, a judge in the Loudoun County, uh, uh, system there. So, you know, my early days of, um, growing up here, we had a, um, a full working farm. Uh, even though my, uh, my grandfather, uh, had been a banker, he was the president of the Middleburg Bank from about, well, right after the bank holiday, which was 1932, um, they decided, the examiners decided that there were, uh, um, enough questions about some loans and things, and Mr.  
Speaker 0    00:06:42    Sands said, uh, the, who was a, a founder of the Middleburg Bank. He, uh, uh, he had a lot of loans to a lot of his businesses, and they kind of thought, well, that wasn't exactly the way it's supposed to be. Mm-hmm <affirmative>. So my grandfather, who had, um, had a, a fair bit of financial experience prior to that, um, they said, well, they would reopen the bank if Mr. Dudley would, um, become the president. So he was the president of the bank from say, 1932 to 1948. And he retired because of his health. Mm-hmm <affirmative>. He passed away in 1949. Um, so, you know, my early, uh, recollections were, um, coming up here with my mother during the summers and spending a lot of time at Xing. I remember my, you know, both my grandparents, uh, you know, pretty well then. And then we moved there full time, um, in 1940, uh, seven, I believe.  
Speaker 0    00:07:43    And, um, uh, we had a, a, a full working farm. Uh, it was a dairy operation. We milked about 50 cows a day, which was a pretty good sized operation in those days. And, um, so it was sort of like a, a great, you know, playground for a kid to grow up in. Um, and over FaceTime. Uh, I have two younger brothers. Uh, my middle brother, uh, Jack, who's name named for my father, John r Jr. He's seven years younger than I am. And then my youngest brother, uh, Sayers, Arthur Sayers is 10 years younger than I am. So, um, you know, we, we had a lot going on there, but I was old enough to kind of get in the way of everybody and get involved. So, um, when I first recall, um, being there on the farm, we actually still had workhorses, and we also had our first tractor.  
Speaker 0    00:08:47    And so I, you know, kind of got to see that transition. And as a kid, um, I was allowed to ride my horse from exiting to Middleburg, came right on up Route 50, 'cause there was no traffic on the road. Right. I come on up to Middleburg and I could buy, you know, bbs or Bubble Gum or whatever I wanted to do. So, uh, and then I just kind of hang around, you know, poke around Middleburg a little bit. And, uh, then just decided to go on back home when, when I wanted to. So, and where  
Speaker 1    00:09:18    Did your horse stay when you were shopping?  
Speaker 0    00:09:22    I tied him up to a parking meter, <laugh> <laugh>, and, uh, so, and had, every once in a while, I had to do a little cleaning up after him. But, uh, um, so, and, you know, Middleburg was a full in, in those days, was a town that had, you know, lots and lots of different businesses. Um, uh, the Red Fox was where it is now. And then across the street on the, on the north side of the street was the, uh, what is, I guess they call it the Windsor House now. Mm-hmm <affirmative>. Uh, but it was known as the Colonial Inn, which was another place you could eat. And, um, uh, people could stay there either overnight or for longer periods of time. Um, and I'm just trying to think on the right next to The Red Fox was a, uh, movie theater, which was owned by Liz Tippett, uh, who lived at, uh, lol.  
Speaker 0    00:10:15    And, uh, that was a, that was a big event because, uh, on Saturday nights, people would come to Middleburg. And, um, it was a, it was a place where everybody gathered because, uh, uh, we come to the movies and, and then all the people who worked on the farms would come in. And it was, uh, it was a time when, um, of course I didn't understand it at, at the time, but it was a time of segregation. And, um, and so the movie theater was segregated, but it, it, you know, it seemed to work. Um, and, um, but we would, um, people would be standing in the middle of the street talking to everybody and 'cause there was no traffic. Right. And, uh, I can't remember the lady's name, but she was, she would ran the ticket office there, and she would come out with a bell that was kind of like, what a, like a school teacher would use.  
Speaker 0    00:11:05    And she clang this bell, and which meant that the movie was gonna start in five or 10 minutes and everybody rush in. And, and, uh, we did, did that. And, and, uh, then, let's see, on the same side of the street was a, uh, well, actually it was a boarding house. Mrs. Gasaway had a boarding house there. Um, and then somewhere along the way, she moved to Leesburg and moved her business over there. And a fellow by the name of Mark Andrew, uh, opened up a hardware store. And it was a, it was a, a hardware store for a long, long time. And then, um, going down the same side of the street, Mr. Dew, Billy Dew, who's an architect, built a, uh, an office for himself. It was a, it was a vacant lot. Um, but he built an office, uh, for himself. It's where the, uh, uh, the sushi bar is mm-hmm <affirmative>.  
Speaker 0    00:12:02    Today. Mm-hmm <affirmative>. Uh, and he was, uh, he, he designed a number of things among, which was the, uh, community center, uh, Mrs. Jackson, uh, Mrs. Harold Jackson gave the money to build it, but he was a fellow that designed it. Mm-hmm <affirmative>. And I'm trying to remember, I think, I don't know what was on the corner there, um, between Mr. Dee's office in the corner and then over where, um, um, oh, there's a store there now. I can't think of the name of it. On the, kind of right across the street from the Episcopal Church is, uh, it was the tack box, um, which was, um, oh gosh, I can't remember the lady's name. She used to terrify all of us, though. She was a very scary lady. Oh, there's  
Speaker 1    00:12:51    Two clothing stores there now.  
Speaker 0    00:12:53    Yeah. Right. But that was, uh, um, a store that this lady had, I can't remember her name. And then behind it was, uh, Mr. Ballard had the, what they call the tack box, which was harness making. And, uh, that's what was stuff there. Mm-hmm <affirmative>. And then, uh, Mr. Royston had his funeral home, you know, next door to that. And, um, um, and then across the street, um, is the Episcopal Church, which is where my family, where we all all went to church. My grandparents were very much involved there. And there's a couple of, um, uh, there's a couple of things on the wall in there, uh, that make some notation of that. Um, my grandmother was a direct descendant of Levin Powell, and there's a big plaque in there explaining who he is and how he, how he came here. Levin Powell was one of, uh, uh, George Washington's lieutenants.  
Speaker 0    00:13:47    And, um, after the Revolutionary War, he was, he bought and was granted some land here. Mm-hmm <affirmative>. And he actually laid out the town of Middleburg. Um, but, uh, my, my grandmother, uh, related to him through her mother's side of the family. Uh, my grandmother's maiden name was, um, well, it was hacksaw, but her mother's maiden name was, uh, Nolan. And, uh, she and Ms. Charlotte were first cousins. Mm-hmm <affirmative>. Their, uh, uh, their, their mothers, uh, were, uh, miss Charlotte's father and my grandmother's mother were brother and sister, and they were raised out here on the, on the Plains Road at a place called Berlin Farm, which is, uh, the house was, uh, uh, burned down in the late fifties, early sixties. Mm-hmm <affirmative>. I'm not quite sure what all the circumstances were about that. So, um, and then in the, what is the parish house of the Episcopal Church now was, uh, Dr.  
Speaker 0    00:14:53    ER's house. And he had his, he had his office down in the basement. And, uh, uh, unfortunately, uh, we've lost our, uh, our great friend, doc Saffer, who was a, um, a real historian, a a about Middleburg, but the Saffer family lived there, and I guess the Episcopal Church acquired it some time along the way. Mm-hmm <affirmative>. And then as you sort of come up the, uh, across the street where Creme de la Creme is now, was a, uh, was an independent grocery store called B and A Grocery, which was, um, owned by Mrs. Edwards. She and her husband started it back in, I think in the thirties. Um, and then he died. And, uh, she continued to run it until, Hmm, I think she probably, I've lost track of time now, but I think probably maybe 10 years ago, shut it down, no longer than that, I guess 15 years ago, probably shut it down.  
Speaker 0    00:15:44    But it was, um, it was a place where, you know, we could go in there and get, uh, you know, get stuff and they charge it to our parents, which, uh, we usually heard about that a little bit later. But, um, she, uh, she had a very, you know, very good business. And it was, uh, she had a, a, you know, a significant following because, uh, they had a very good, uh, uh, meat operation butchers and stuff like that. So if you wanted particular kind of, uh, cuts of meat and stuff like that, they went into Washington and at a, and picked up, you know, special order stuff like that. Um, Mrs. Edwards aft, uh, when she lived in the next building coming up, which is the upstairs over top of the, what is there, there's a, there's a clothing store there mm-hmm <affirmative>. Upstairs. She lived upstairs in an apartment up, up above there.  
Speaker 0    00:16:37    And then coming up the street where there's a, there's a little courtyard there, right. Which, uh, back in the day was, uh, the Exxon station. It was Anso Station, and, um, oh, darn it, uh, Mr. Poston, Herman Herman Poston, um, uh, owned it. And, um, so, um, just the center part of what's in that little courtyard now was the, was the gas station. And the gas pump was kind right out in front. And, uh, he was a very talented musician. And they would, um, that was another attraction of Saturday night. It was at, uh, uh, these various, uh, people, men, I'm sure there were plenty of women that could have played too. But these men came in there and, uh, they would have these, uh, music sessions where they just would play mostly, uh, mostly country music, uh, uh, banjo, fiddles, uh, uh, and, uh, mandolins and, you know, uh, sort of country music.  
Speaker 0    00:17:41    But there's some, there were some very, very accomplished, uh, musicians around. And one of the fellows that I remember was a guy from Upperville named, uh, well, bikini was a very, very talented musician. Um, and they would play outside there. They'd just sit, they'd sit out, you know, on a summer evening, and they'd just sit there and play. And they probably had a few refreshments, uh, along the way. And then, uh, as you're coming up the street, uh, a little further was Mr. Lawrence and Leach Hardware, Mr. Lawrence. Linwood Lawrence had a hardware store where the tele rector store used to be mm-hmm <affirmative>. I'm not quite sure what's in there now, but, um, and it was a, uh, you could buy nuts and bolts and washers and pipes and anything. I mean, it was a real old fashioned hardware store. And he took in Billy Leach as his partner.  
Speaker 0    00:18:34    Um, and 'cause Mr. Lawrence was a significant age difference between two. And then ran that. And then, uh, when Mr. Lawrence passed away, or maybe retired and then passed away, um, he, um, left that business to Mr. Leach. He had a model, a Ford that he used to drive all the time, and he parked it in front of the store, you know, every, every day. He had his own little personal parking place there. Um, and then the next thing coming up the street was the Safeway. Um, which I don't, I don't remember seeing it, but I am told that actually at one time, there was a, there was a, a, um, um, there were two grocery stores. There was an a and p store as well as a Safeway, and it was side by side. And, um, by the time I remember it, uh, Safeway had, uh, taken over the space, I guess the a and p gave up, but that was, uh, that was, uh, that was where the, where he went to getting to do your grocery stopping.  
Speaker 0    00:19:36    And, um, then the next, um, building coming up the street was owned by a woman by the name of Mrs. Greer, who was an interior decorator. And she, uh, she lived on the second floor and had her store on the first floor, sort of very pretty, pretty expensive stuff, I guess. I, I don't know. But anyhow, she was a, she was a nice lady, and she lived upstairs. And then where the, uh, oyster Bar is right now was my grandfather's bank. And, um, which was there until about, I think the current bank was opened about 1955, if I remember. They, they, that was a big move because, uh, um, everything was, everything was pretty much centered right there. The, uh, the bank was on the corner, and then you went to, I can't, what's, what's the, what's the cross street? I can't remember. Um, as you head down toward the millwork to the Hill School, uh, whatever the cross street is, I can't ever remember the name.  
Speaker 0    00:20:42    Um, but anyhow, that street had, the post office, had the liquor store, had the barber shop, had, uh, the Reliable store, which is where you could go buy your khaki pants and do all that kind of stuff like that. And, um, and then all of a sudden, kind of in the, I guess in the middle fifties, um, things started moving west a little bit. Uh, the bank went to where its current location is, uh, Safeway bought Dr. Spitzer's house. He had a, he had a, that whole lot there on the, where, I guess that half a block, he had a, he had a pretty house with a big two story porch on there, and a nice front yard. Well, they bought that, knocked his house down and built a Safeway. And, you know, the a BC store went up the street and, uh, where the, where the, one of the gathering places around was where the, the, I guess the salamander head on the corner there was known as, it was a guy named Joe Anderson.  
Speaker 0    00:21:48    His, he and his family ran the, the, I think it was called the, you know, we used to call it Joe's, but it had a proper name, like the, like the, the hitching poster or something like that. But anyhow, you could go in there and get, uh, you know, get a hamburger or whatever. You could catch your breakfast, you could get your lunch and whatever like that. Was it like a counter, or was it a, uh, they had both, they had some tables and they had a little counter in there too. Mm-hmm <affirmative>. But it was an old fashioned, you know, just, uh, old fashioned sort of fast food. What was fast food in those days. Um, but so when that, that, that moved that, but when that happened, that moved things, you know, to the West. Um, um, where Phil Thomas has his office now was a furniture store, um, for a while.  
Speaker 0    00:22:39    And then I guess, I don't know when Phil bought that, but, um, it was a furniture store. And then, um, I'm trying to think next to that. I can't remember, but there was a, uh, there was another, um, uh, sort of specialty butcher store there. Mr. Trol ran one. Um, it was in a fairly narrow place in there. Oh. There was a, there was a news stand in there too where, uh, I remember after church, we'd go up there and my parents would stop there, and they'd let me go in and buy a couple of comic books. And, um, we, that was, but there was, and then there was a, uh, a section of the, uh, store where, uh, I was never allowed to go. 'cause it was some, whatever was back there was not from my eyes, <laugh>.  
Speaker 0    00:23:24    And, uh, I can't remember the man that ran, ran the place, but he was a pretty, pretty good guardian of whatever was going on in the back. The next to that, which is that stone building, uh, which is now broken up into a lot of places, was a car dealership. At one time. It was a Ford dealership, uh, which Mr. Nachman owned. And then it was also during Chevrolet. And both of those places actually end up moving, uh, Mr. Nachman moved his Ford dealership down to the current site of the Middleburg millwork. Mm-hmm <affirmative>. And, uh, during moved his car business back to the building, which is now Chuck Acry has his office in back there. Uh, but that's, that, that building's had a bunch of different iterations. Um, over time, it was, I worked in the summers for a guy named Jim McCandless, who was in the construction business.  
Speaker 0    00:24:20    And he, he, uh, I don't know whether he owned it or not, but he rented that building, and we had all of our trucks and all that kind of stuff back there. This was after, during, uh, when, uh, the Chevrolet business closed down. And then, um, next, there's that small little building, that little brick building, which is, uh, I don't know whether someone lived there or, or what, right next to the church. Yes. It's an art next art gallery. Uh, yes. Right. And then the Methodist Church. And then, um, I'm trying to remember kind of what was, um, I can't remember what was in that block, uh, the first part of that block where the, uh, Middleburg Bank is mm-hmm <affirmative>. I can't remember what was, what was there. And then, um, the Fun Shop was there, which is, you know, well, the Post, so the post office moved up there between the, uh, the bank and the Fun Shop.  
Speaker 0    00:25:17    So that was part of the Westward Move. Mm-hmm <affirmative>. And then The Fun Shop, I think, I think Allen started that in the mid fifties. And, uh, of course, that was everybody's go-to place. And, uh, uh, they had lots of, you know, all kinds of stuff there. And of course, uh, Mrs. Allen, she kept a, uh, special selection of, uh, of, uh, uh, birthday cards and things under the counter. So once again, you had to be of a certain age to be allowed to have access to Under the Counter. But, uh, I, I remember that, uh, a lot of people used to have a lot of fun with that <laugh>. But, and then Mr. Allen had, he was a photographer, and he had his, um, uh, studio upstairs. And, um, uh, I'm, uh, he had, I mean, he, he took pictures everywhere. I mean, he was all over the place.  
Speaker 0    00:26:06    He was a wonderful guy. He, I think he, he was from, originally from Winchester and, uh, went, he went to Episcopal High School. Um, and then, uh, I think he and Mrs. Allen were both from Winchester, I believe. Anyhow, they came and settled here and, you know, became a real, you know, accurate to the community. And then on the corner, which is now the, well, um, let me see that building. I don't know what that building was right next to, right where, where the Southern States used to be. Right. I'm not quite sure what that building was. Um, but then the, uh, on the corner where the Satter place is was a BP station, which was, uh, owned, uh, run by a guy named Burns Robertson. And he was a, uh, he was actually from Canada, and his family moved down here. I think his father was a, was a horseman, and came down here, and I can't remember with whom, but he was a horseman that came down here.  
Speaker 0    00:26:58    And Burns had, uh, uh, three or four brothers. And they, uh, they all worked there. Um, uh, along with another fellow, uh, a color fellow was a delightful guy named Ki Skip Smith. They all, uh, they all worked there and, uh, you know, ran a, a thriving, uh, operation there for, you know, back, it was back in the days when you came in to get gas. You know, they came out and they cleaned off your windshield and did all that other stuff like that for you, and pumped the gas for you. And, um, and then I guess, um, um, vine Hill, which is where, uh, which is part of the sporting museum now, um, that was a private residence. Um, and I think that the Chronicle of the Horse was there, uh, for a long time. And then across the street, of course, was the community center, um, which I mentioned earlier that Mrs. Jackson, uh, funded the money for that.  
Speaker 0    00:27:54    And Mr. Dew, um, um, he designed it. And where the BB and t Bank is, I don't think there was much of anything there. And where the salamander market is, I don't think there was anything there. Um, the, the restaurant where, um, I can't remember you. Um, what's the, what's the restaurant now there? The red, the, uh, uh, um, I can't think of the name of the national, we called the Pink Pink Pony. The Red Horse? Yeah. Red Horse. Um, I think that was a residence, uh, uh, belonged to somebody. And then there was a, a, some vacant space in there where those newer buildings were. And then where, um, gosh, I'm trying to, I don't know what's in there now. One of those, um, let me think. Just, just before the building, that's just to the west of the a BC store was Mr.  
Speaker 0    00:28:48    Hockmans radio. Radio, radio store. Mm-hmm <affirmative>. And that was a, I mean, he was a tinkerer and stuff. He had all kinds of stuff. And if your TV blew up, you know, he, that was back in when they had tubes and TVs. He could, he'd come fix your tv. And, but he was, he was a, he was a, uh, an interesting guy because he, he was up all night long on his ham radios. So he didn't, unlike everybody else in this community, because of the farming community, everybody started to work early. He didn't, he didn't start to work till, you know, 10 or 11 o'clock in the morning because he was up half the night talking to people around the world. But he was a fun guy. Where did you go to school? Where did I go to school? Well, I went to the Hill School.  
Speaker 0    00:29:30    Uh, well, actually, when I first, when I first came back here, I went to school in Aldi for a couple of years, and then I think I started the Hill School in the third grade, and then went through there, got outta the Hill School School in 1956, and went to Episcopal High School, which was, uh, a requirement in my family since, uh, all of us from my grandfather right on down, have all gone to Hill School. And, uh, so I got outta Hill School in 61, and I went to Hampton, Sydney College, which is down in, uh, Southern Virginia, and graduated there in 1965 mm-hmm <affirmative>. And, uh, from there I went to, uh, I went to New York. Uh, my father was totally shocked. He couldn't believe it that, uh, I just had this bug in my head that I wanted to go to work on Wall Street.  
Speaker 0    00:30:23    So I knocked on doors and made phone calls and did whatever I could do, and finally got a job and went to New York for work. And, uh, was up there in New York for a couple of years. And, and, uh, in that, uh, 65, 6 and seven, I lived in New York. And, uh, Margaret Littleton and I were married. Uh, she was Margaret Church, uh, from over in Vix CityVille, Virginia. Uh, we were married and lived in New York for a short time. And then we moved to Philadelphia in 67, and we lived there 67 to 72. And then we came back here in 72 and moved to Upperville. And, uh, Middleburg was, uh, too busy for us at that, at that stage. And, uh, I, I, I have lived in, um, Upperville ever since 1972. Mm-hmm <affirmative>. Um, so, um, but you know, growing up in Middleburg was a, was fun because you could, um, you could kind of wander around.  
Speaker 0    00:31:21    We, we, we didn't, um, yeah, there weren't any restrictions on us. I mean, uh, um, and I mean, not just me, I mean everybody mm-hmm <affirmative>. We sort of wandered around. I had, you know, some friends, um, um, here in Middleburg. Um, uh, but there, you know, there was sort of, there were two, two groups of people. They were the farm kids, and then there were the town, town kids. So like, uh, doc Saffer and his younger brother Stewart, who was a classmate of mine in Hill School, and, um, Johnny Petty Bone, and Wesley Boxwell and, uh, Clayton Ellis and those guys, they were all the town boys, Eddie Wright. Um, and, uh, they had, they were a pretty, pretty tight group. Um, so every once in a while I would be, I'd come up and, uh, you know, we'd, I I, I'd spend the night with Stuart Saffer and, um, then that would give me a chance to sort of see what, see what went on in town.  
Speaker 0    00:32:29    And, um, there were, Stewart was a quite a character. He was, uh, he was, he was known as a, a little bit of a, a very, very mischievous fellow. Uh, I won't say he wasn't bad. He was, Stuart just was an independent fellow. And, um, he, um, we had a, uh, a local policeman named Stanley Wilson, who was, uh, everybody's friend. I mean, he was the kind of guy where if, um, you know, somebody had been having a little bit too much fun, you know, he'd, he'd figure out how to get 'em home, stuff like that. Although, there were two guys, and I cannot remember their, their names. I think their last name was Leonard, but they worked on, uh, the Kelso farm, which is down, uh, Dick Kelso was a classmate of mine at Hill School. And, but they, they had a farm down where you turn, uh, uh, where you go to Stoke on the way to Aldi, you turn to go at that road.  
Speaker 0    00:33:32    These two boys were, uh, having, they'd been having a, a big night in Middleburg. Um, and they were walking down the back street, um, sort of where the dry cleaner is, and there was nothing. There was a, there was an old stable there, a couple stables, a couple buildings on there, but there wasn't much on that, on that side of the street. Um, um, and where the new part of the cemetery is, was, um, just a vacant lot. And, um, these two boys, Stanley said, well, you know, you guys have had way too much to drink. I'm gonna have to take you to jail. And they go like, well, I don't think so. You know, that's not a real good idea. So they grabbed Stanley and these two guys were strong as Oxes. They, they, they grabbed Stanley, they took off his belt that had his gun and his handcuffs and all that kind of stuff like that.  
Speaker 0    00:34:26    Got his car keys, put his belt with all of his gear on it, in his car and the keys, and locked the car up. And it took Stanley and tossed him over the fence into the pasture. And then they went on about their way. Well, Stanley was completely, you know, he was flummoxed at that stage of the game. He didn't know what to do. But, um, Stanley, um, uh, you may have to, you may have to, uh, uh, modify this story a little bit, but, uh, Stuart and I, um, uh, the, the gate to the, uh, to the cemetery, um, was, um, it was open pretty much all the time, but it had a, it had a chain and a big lock on it. And, um, Stanley was, uh, uh, he was, he was interviewing someone, uh, down in the cemetery, parked in Stewart. And I just discovered this one night when I happened to be in town.  
Speaker 0    00:35:23    And, um, so we decided it would be a good idea that we would, uh, lock the gate. So we got the chain and the padlock, and locked the gate, and left. Then, then Stanley couldn't figure out how to get out of the cemetery, so he was having <laugh>. So that was the kind of fun that, you know, we used to have. And there was, you know, there was a, there was a lot of stuff going on. So, um, and there were, uh, you know, there were a lot of, uh, a lot of very interesting characters around, uh, we had a, uh, I'm trying to think what's there now, kind of in the, um, well, there was a, you know, we had, uh, um, we had a drug store, which was right. Um, um, there, I wish, what is that? Is that Madison Street? I think you the one that that goes down to Yeah, to to the Hill School.  
Speaker 0    00:36:13    To to Hill School, yeah. Hill School on that. So right in the, right in the middle of a block was a, um, uh, there was a, uh, well, the fire station was there, if you can believe that. Mm-hmm <affirmative>. And then, so, uh, if you started on the corner where, uh, Tom Hayes was at my dad's office was there, there was something else in between, I think it was a, uh, um, like a beauty parlor kind of thing like that mm-hmm <affirmative>. And then there was a, the fire station and the jail was downstairs. The steps are still there. Yeah. Yeah. And then, and they had a lot of, they had a lot of poker games going on down there all the time. In the jail. Yeah. In, well, downstairs. Yeah. In, in the jail. And then, and then the, the drugstore, which, uh, Dr. Payne owned, and he lived in that last house as you leave Middleburg on the north side of the brick house that sits right close to the road, he lived there.  
Speaker 0    00:37:03    Um, and then next to that was a barbershop, Mr. Mr. Glass known as Cutter Glass. And, um, he was, uh, you'd go in there for a haircut, or you'd be taken in by, you know, your parents, the haircut. And it was very embarrassing, because if you were not, if you were a young kid, he would get the, he'd get the board out, and they'd put the board on the chair, and then you sat up on the board, so you'd be high enough to, and he only knew one way to cut hair, just hit you with the clippers, just b around both sides. And it didn't make any difference whether you, you know, leave it long, leave it, you know, whatever. He just buzzed right around like that. So every boy in town had the same, everybody had the same kind of haircut. Yep. And if you were going off to summer camp, which I did in the summers for a couple years, I mean, you really got it then, because that was a, like a haircut that had to last for a while.  
Speaker 0    00:37:56    And then, uh, uh, and then when he came up from, uh, his, uh, his store then was the old post office, and then, and then the bank, and then across the street was directly across the street from the post office was the liquor store. And then the, and then of course, the health center, which is now the, uh, it's a pub, brewery pub there, the health center there. And they had Dr. Gibson and Dr. McConnell both had offices in there. And then, um, I think eventually Dr. McConnell McConnell moved his office, uh, into that, uh, brick building that's right next to it. But Dr. Gibson, uh, headed, ran the health center with, uh, the, the able assistance of Ms. Williams, Virginia Williams, who was, uh, always properly dressed in her white uniform. And she was, she was great. So that was there. And then Liquor store, and then, um, where I, I don't know what what there is there now, but, uh, um, what used to be the outpost, and it's, I'm not sure what's in it now, but that was where the, um, the Reliable Store, which was really like a dry, good store.  
Speaker 0    00:39:09    I mean, you could buy, you know, socks and khaki pants and shirts and t-shirts and all that kind of stuff was in there for a long time. And then, and then Phil Thomas's office. So, uh, so everything was kind of on those two, yeah. Two streets right there. It was, yeah. It was pretty much. Uh, and then, as I say, uh, uh, and I can't remember which one went first, but then the bank, the post office, the A BC store, you know, they all, they all went, uh, moved to, to the West, which was in, it was not much going on. I mean, I think before I would, I would guess the bank, the fun shop probably started more or less at the same time that the bank built their new building there. Mm-hmm <affirmative>. And then every, you know, one went long that, and I can't really recall when the Safeway moved there, but everybody thought that was the greatest thing that ever happened.  
Speaker 0    00:39:59    And of course, if you look at a grocery store now, I mean, you, you, you wonder, I mean, how they, how they got along, right? But, but, but you should have seen what they had before. I mean, it was, it was, it was actually known originally. I, I remember, I remember going in there when it was actually called The Sanitary Market was the first name for it, and then it became the Safeway. And, uh, it was, uh, uh, it had white tile walls. I mean, you know, sanitary market. I mean, it looked like, it looked like the, looked like a giant bathroom, I mean, with these white tiles, you know, all the way around the walls. And, uh, and then eventually when Billy Leach, uh, after he, uh, uh, he was left the hardware store by Mr. Lawrence, he and the Safeway moved up to its current location.  
Speaker 0    00:40:46    He actually took over all that space and moved all of his, uh, took all that space, which is now is divided up among a bunch of smaller stores. Mm-hmm <affirmative>. But that was all, you know, a very large hardware store. So we actually had two, we had, he had his hardware store there, and then across the street, uh, Mr. Mark Andrew had his hardware store across the street. So we had, you know, we had two hardware stores, we had two doctors. We had, you know, the Safeway, and then we had a, a couple of small markets, you know, butchers and stuff like that. Uh, we had at least two, uh, harness makers, saddle repair places, um, you know, in town. Um, I can't remember who it was, but I believe there was actually a tailor here also who made riding clothes and, you know, that sort of stuff like that. Oh,  
Speaker 1    00:41:37    Yeah. Someone else had  
