People  LS,CLAUDIA,SANDY
Title   Interviewed 1/30/20<br>by Lydia Strohl <https://d1q40j6jx1d8h6.cloudfront.net/Obituaries/23112665/Thumbnail.jpg>
Speaker 1    00:11:12    Telephone. Oh, the loan. Oh, the loan. <laugh>. Yeah.  
Speaker 1    00:11:15    Had a, had a switchboard where you plugged in. Right. And if you're going somewhere, you'd call Bessie and you'd set Bessie, I'm gonna be out of town for three hours and we should take my messages. And she would, and I would go up there and sit with Bessie and she'd pour me a little craft cheese, glass full of beer. I mean, I was too young, way too young to drink <laugh>. And we'd sit there and we'd listen in on people's conversations.  
Speaker 1    00:11:39    So she was drinking beer and listening to people talk all day.  
Speaker 2    00:11:44    Listen, I was like, the town dog  
Speaker 1    00:11:46    <laugh>. So  
Speaker 1    00:11:52    Anyway, we, uh, did that. And then that later became, uh, when Greg Halve first came to town, the dentist. Mm-hmm <affirmative>. Right. He used it as an office. And while his building was being built, and after him, uh, Bob McConnell used it until his building was being built, which was next door, which is now a part of the inn. Right. Of Turner's Inn. And then the deli was not there. And all those buildings weren't there. 'cause we owned all that property. Right open. Yeah. At Stonewall. We used to go to the end of the Stonewall and call across to the, uh, BNA and tell 'em, bring us a Pepsi Cola <laugh>. A bag of potato chips. Anyway, next to that was the little building that, uh, I think it's furniture in there now. Oh,  
Speaker 2    00:12:54    Shut every door in this place. And lock.  
Speaker 1    00:12:56    This is my husband, Sandy.  
Speaker 2    00:12:58    Hi, I'm Lydia Sandy on, how are you? Nice to see you. You made it. I should have locked out. Knocked on the window. God damnit. I didn't think you hear this soon. So,  
Speaker 0    00:13:10    So after that, the little brick house. The little brick house next to the movie theater, what was there originally? Was Grol there?  
Speaker 2    00:13:22    I, uh, if you look at the movie house from the street  
Speaker 1    00:13:27    Yeah. Next to it.  
Speaker 2    00:13:30    Well,  
Speaker 1    00:13:30    Next to where we lived, which later became, oh,  
Speaker 2    00:13:34    Well wait a minute. That was the, the, that was the, uh, uh, hardware.  
Speaker 1    00:13:40    No, the hardware. I'm gonna get to that where we lived in the White House, which is said, find Shop Now. Mark Hardware lived there. Mm-hmm <affirmative>. And he had three rings of keys. I mean, every known key in the world. And if you had a lock to a box or something, you'd take your box in there and he'd drive the key until he found it. And then he'd make a copy of the key and give it to you. Now, if you had something at your house, like a door you couldn't get, didn't have a key for, he'd bring those three rings to the house. And same thing. Make a key. Same thing. Yeah. And, uh, he was a nice guy. His daughter just recently died. He had one child, a daughter.  
Speaker 2    00:14:23    Can't think her name.  
Speaker 2    00:14:25    Theresa.  
Speaker 2    00:14:26    Huh?  
Speaker 2    00:14:26    Theresa.  
Speaker 2    00:14:28    Theresa. I thought her something more stranger. That  
Speaker 0    00:14:32    <laugh> Then what was his last name? Mark Harden. Mark. Huh? Mark's last name. Mark.  
Speaker 1    00:14:39    Mark. Uh,  
Speaker 2    00:14:42    Was it Harden?  
Speaker 1    00:14:44    No. No. <laugh>.  
Speaker 1    00:14:46    I'm thinking, I'm thinking Different. Different. Mark.  
Speaker 2    00:14:51    That will come back sometime.  
Speaker 0    00:14:53    As soon as soon as you don't think about it will come. What? As soon as you're not thinking about it. It will.  
Speaker 2    00:14:57    Yeah. It will come. I'll be just, it'll be two o'clock this morning. Probably.  
Speaker 0    00:15:01    The, the tape recorder is going. So just for the transcript, would you like to say your name? We've been joined, um, by Mrs. Hartley's. Husband.  
Speaker 2    00:15:13    No, Mrs. Young's ever.  
Speaker 1    00:15:14    Sorry.  
Speaker 2    00:15:15    <laugh>.  
Speaker 0    00:15:15    Yeah. You're Mrs. Hartley. <laugh>. I'm two generations too soon. <laugh> Mrs. Young. And you are  
Speaker 2    00:15:23    Sandy young. Sandy  
Speaker 0    00:15:24    Young. And you were, where were you born?  
Speaker 2    00:15:27    I was actually born in New York City, but, uh, we were living here and my mother didn't want to have any children in Washington DC for some reason. So, and that's where she was from. So she went back up and her, her family was, her mother and father were still living there. So we, uh, they  
Speaker 2    00:15:49    Were from England.  
Speaker 2    00:15:50    So she shipped up there. And I was born in New York and then shipped right back down here two weeks later. And been here ever since.  
Speaker 0    00:15:58    And when were you born?  
Speaker 2    00:15:59    36.  
Speaker 0    00:16:00    36. Okay. That's just to get, or us all straight on the tape.  
Speaker 1    00:16:05    Alright. Then next, next to that little, um, brick building was the Middlebrook Movie Theater. Mm-hmm <affirmative>. Where the stone steps are. Right. And that was owned by, um, Lang Go Lan. Um,  
Speaker 1    00:16:26    Tip.  
Speaker 1    00:16:27    Yeah. Liz Tippet. Well, I,  
Speaker 2    00:16:29    Well, she was Whitney then.  
Speaker 1    00:16:30    Yeah. Liz, Liz Whitney, then, and incidentally, as a footnote, go with the Wind, made its debut here because it was directed, produced and paid for by Jock Whitney and Clark Gabel came. Huh. And he stayed a while, and he looked around to, for a farm to buy, but didn't end up buying one. But he came back frequently for visits along with Earl Flynn. Buster Keaton.  
Speaker 0    00:17:00    Who  
Speaker 1    00:17:00    Else? Jane Russell. Eddie Lamar.  
Speaker 1    00:17:04    Oh,  
Speaker 1    00:17:05    Judy Garland. They all came to Middleburg to visit at the movie theater. Daddy Simpson was the manager, and he had a, um, bulldog. And that bulldog went everywhere with him. Uh,  
Speaker 0    00:17:21    And they all came because, uh, Ms. Whitney was here. Yeah.  
Speaker 2    00:17:25    They asked her to be in New,  
Speaker 2    00:17:26    And  
Speaker 2    00:17:26    Jack and  
Speaker 2    00:17:27    Jock and Jock was, you know, financing movies at that time.  
Speaker 1    00:17:32    Right.  
Speaker 2    00:17:32    And also, he, uh, you know, he was Holly. He was a Hollywood type. He was also a very,  
Speaker 0    00:17:41    Uh, and Mrs. Whitney's who, uh, Mr. Wiley was working for, huh? Yes. Yes. Mr. Wiley was working for Mrs. Whitney.  
Speaker 2    00:17:48    Yes. Well, actually Louis' father,  
Speaker 2    00:17:51    Right? Yes.  
Speaker 2    00:17:52    Yeah. Uh, was, uh, came up here from, well, you got, you've already talked to him. So you know that story. When he came up here from Salem to work for, uh, Liz Whitney at the time. Right. Because she was divorced at the time. And then she married thereafter. Thereafter, thereafter,  
Speaker 1    00:18:15    <laugh>. But she brought a real Hollywood element to, to  
Speaker 1    00:18:19    Town. Yeah, she did.  
Speaker 1    00:18:21    And as a footnote, in those days, there was no lock on the women's bathroom. You could put your finger through the hole where the doorknob was, flick the hook and sneak in without pan. And I don't know why, but people beat on the floor. So you'd walk through, slush through the floor and leave tracks, and there was a big heater, oil heater. You went behind that and then got a seat, and the black people sat upstairs. Fred Lee Leonard, who lived across the street where McMahons are, did the projector. And it would often break. And we'd have to wait for him to splice it to continue the movie. Mm-hmm <affirmative>. Okay. And he's dead now, also. Um, and was that, when you say the black people lived upstairs, was that a rule or was that Yeah, it was a rule. It was a rule. Things were segregated in those days. Mm-hmm <affirmative>. They sat upstairs. Mm-hmm <affirmative>. Let me tell you something else. They would often spit down on the white people. Don't put that out there.  
Speaker 2    00:19:23    Well, I never, I never experienced that. I,  
Speaker 2    00:19:25    I didn't either. I  
Speaker 2    00:19:26    Sat too far up front.  
Speaker 2    00:19:28    <laugh> Me too. Stay  
Speaker 2    00:19:29    Outta range.  
Speaker 2    00:19:31    I don't know. I'm along Casty and Lone Range of movies. Friday nights, always a Western on Fridays. You  
Speaker 2    00:19:36    Lived right next to it. So, I mean, you went to Louis a lot. I, I didn't,  
Speaker 2    00:19:40    Yeah. I went Mondays and, and Mondays and Fridays in your brother's book. He said he went every Friday night. He did. To the Western. Every went every Western. And it was a cereal, so. Oh. Yeah. So you would know. And how long were those movies? Two hours, I guess. So they were the same amount of, of time, but they were cereals. Yeah.  
Speaker 2    00:19:59    I'm not sure that they were that long.  
Speaker 2    00:20:01    Yeah, they were, I think they were, uh, maybe an hour and a half, two  
Speaker 2    00:20:05    It, because they were part of a, the, the, it was the cereal and then the movie was shown. So the cereal was probably 20 minutes. The movie was whatever hour and, you know,  
Speaker 2    00:20:16    Days. Right. I don't remember. Right. Before they had so many previews. I remember when I was little, they used to shark show cartoons. That was the best part of the movie. They did too. Yeah. Um, but that, those were the good old days. Uh, and a lot of the movie stars came back frequently. That's how Robert Deval ended up here. Is that so? Yeah. Uh, and Fred Aire, who lived out on the, the, you know, out of the plains, he had, well his  
Speaker 2    00:20:46    Sister lived  
Speaker 2    00:20:47    Here. He and Adele. That's right. They moved here. Mm-hmm <affirmative>. But what happened happened was, um, Robert Deval came and fell in love with a local girl, married her, they later divorced. Now he's married to somebody else and does, did just tango lessons at his house and everything. And has dances frequently and allows people fishing his pond. Uh, and not too long ago, somebody had a drone flying over his house, tried to take pictures, and Jennifer Youngman, who lives across the road, said, get that drone down. And they said no. She went and got a shotgun and shot it down. They never reported her. They left. How  
Speaker 2    00:21:32    Did we get to that?  
Speaker 2    00:21:34    Anyway, just a footnote. <laugh>. So, uh, uh, anyway, when, when Robert Deval played Boo Ratley and To Kill a Mockingbird, that's when he came here. Mm-hmm <affirmative>. And bought the place he has now on the planes. Oh, he came when that movie was shown afterwards. Yeah. Uh, and he has his place in the plains, and he still making movies and he still travels back and forth. And he still has tango lessons, still has dances at his house, all that now wearing of theater. And then, then the Red Fox Tavern, which had a porch on it originally in the front. Yes. Which is now gone. Mm-hmm <affirmative>. Ms. Gasaway owned it. I'd go every afternoon to have tea with her. Uh, she was a lovely lady. And she gave me, I still have it to this day, a, a white China boot, high top boot with black laces with pansies in it. And she had the best food.  
Speaker 2    00:22:35    Who are you talking about?  
Speaker 2    00:22:36    Ms. Gasaway. Um huh. Ms. Gasaway, who owned the Red Fox.  
Speaker 2    00:22:42    Yeah. You know, you get in stuff now that goes beyond  
Speaker 2    00:22:44    Me then, which  
Speaker 2    00:22:46    I can add to this  
Speaker 2    00:22:47    <laugh>, then the Colonial Inn, which also had a porch. And it was painted white. Had two dining rooms. They served meals. Mabel Waddell ran it first, her mother. And then when she mother died, Mabel took it over. Uh, they had two cooks, two dining rooms. They had a big community table. They had upstairs. They had, um, paying guests that stayed there all the time. My father stayed there when he first came to town. Um, dual Tyler stayed there. And, uh, Mercer, Raymond. Mercer stayed there until they settled. I'll tell you about Raymond Mercer as we go up the street then. So now we're in the brick building across from the Red Fox. From the Red Fox. Okay. Right. And down that side street. Mm-hmm <affirmative>. The little house behind the Red Fox was part of the Red Fox. Right. Um, the big building there in the corner where Mosby's Tavern was. Yeah.  
Speaker 2    00:23:54    What do you, I've lost you because you're talking slow.  
Speaker 2    00:23:57    Mosby's Tavern.  
Speaker 2    00:23:59    Uh, the, well, Mosby's Tavern, the original one was right behind the Red Fox. Right. It was a real small building. You could squeeze maybe 40 people in there, and you, and had just had a, they turned it into a bar, and then they had a room in the back where you could eat and a little room off at. And that was at, and it was part of the parking lot. And then when, uh, Reuters wanted to enlarge Mosby's, he went across the street, which used to be a Deering Chevrolet. And that building, he bought and remodeled it. Put a big bar in there and a great big room in the back for where you could have dinners, dances. I mean, he made it sort of a, uh,  
Speaker 2    00:24:59    Oh, inclusive  
Speaker 2    00:25:00    All purpose. Mm-hmm <affirmative>. Entertainment Place. Uh, but that store, that, that building behind and that building, I think it's still there behind the Red Fox. Yeah. I, they don't use it for anything except I think  
Speaker 2    00:25:17    They have room overflow. I think they have rooms in there.  
Speaker 2    00:25:19    They may have rooms in there now.  
Speaker 2    00:25:21    And of course, the school house was, is next door. Yeah. Behind the, the, uh, straight Fox General Reuters. Mm-hmm <affirmative>. Um, in those days, they only had three teachers, or to four teachers. Um, they also had a dollhouse, which we donated. I think that's been destroyed in the first grade, in the kindergarten room, first grade room, rather. Uh, then, uh, the next to, uh, Mosby's Tavern, the little brick building. Who was there? Go that way. It's Stone building is a stone building. It's a stone building to, as you're looking at Mosby's, it's to the left.  
Speaker 2    00:26:14    The left. It's now an architecture, or at least it was.  
Speaker 2    00:26:17    Right? Yes, you're right. Do you remember who was there originally?  
Speaker 2    00:26:24    I'll tell you one thing. It's stretch of my memory. I do remember who was in there, but I cannot bring it as name up now. Uh, it was like a private office. And, uh, and then they had, uh, there was, I, there were two architects in there, one or two anyway. And I don't know who's in there now, to tell you the truth, I don't pay any attention.  
Speaker 1    00:26:50    I mean, it's a business office of some kind stuff.  
Speaker 2    00:26:52    Yeah, yeah. I mean, somebody's in there and I don't even know what's in Mosby's house. I don't, wouldn't put that's  
Speaker 1    00:26:58    Office is too, for a while there was a tack shop in the back.  
Speaker 2    00:27:01    Well, yeah, the tack shop in the back was, uh, uh, your buddy. Yeah. Um, but, uh, he either went out of business or, or left. Uh, and that tack shop was the original desk, floor, dining room, whatever. Because it, you know, there's a lot of space. Right. Um, so I don't know what's in there. I mean, I, all I see is stuff in the window, but I don't know what, what it is.  
Speaker 1    00:27:31    Yeah. There's a sign still that says Mosby's Tavern, but it's, yeah, but it's a business practice wants some hot tea. Oh, <laugh>. I have water. Is  
Speaker 2    00:27:39    This  
Speaker 1    00:27:39    Hot tea? 'cause of your cold? Dad, do you want some hot teas?  
Speaker 2    00:27:42    I've got my ginger ale. You, you take that? No. Here, I'll  
Speaker 1    00:27:44    Give it to dad. I brought you because you were chilly  
Speaker 2    00:27:47    <laugh>. Where'd you get this from? Right  
Speaker 1    00:27:48    Here in the, in the church. It's just hot tea.  
Speaker 2    00:27:51    Anyway, next to that,  
Speaker 1    00:27:54    Thank you. You're welcome.  
Speaker 2    00:27:56    There was Anderson's Sandwich shop where the deli is now. The bakery is right. Mm-hmm <affirmative>.  
Speaker 1    00:28:05    Okay. Yeah.  
Speaker 2    00:28:06    And next to the, to where the bakery is, was, uh, Charlotte and Bud. Adele. And they owned the property all the way down. Had a stone wall all the way down to, um, where the, the deli is. Anderson originally was across the street. I'll get to that later. Um, anyway, Charlotte was a great seamstress and Buddy was a mechanic, and they're both deceased. And now it's a lingerie shop, I think. And then Anderson Sandwich Shop, they were open for lunch and dinner. And  
Speaker 1    00:28:57    That was in the same building there.  
Speaker 2    00:28:59    It's no, the where the bakery is. Where  
Speaker 1    00:29:01    The bakery is. Okay.  
Speaker 2    00:29:02    Now, now, whoa, wait a minute.  
Speaker 2    00:29:05    And they moved from the middle of where the bank is now.  
Speaker 2    00:29:10    Are you saying where the bakery is, is where the Anderson Sand Shop  
Speaker 2    00:29:14    Was? Yes.  
Speaker 2    00:29:16    No, they were right on the main street with a parking lot in front of it. And that was the Hamburger Hut  
Speaker 2    00:29:22    That later was the Hamburger Hut.  
Speaker 2    00:29:24    Yeah. But that was owned by Herman PostIt.  
Speaker 2    00:29:26    That's right. But that was later that it was the Sandwich  
Speaker 2    00:29:30    Shop. No, he owned from, from the get go.  
Speaker 2    00:29:33    Um, he Herman did, but Anderson Sandwich Shop owned by Anderson's was, um, there  
Speaker 2    00:29:41    Where Salamander Store is right  
Speaker 2    00:29:43    Now. Right.  
Speaker 2    00:29:44    Yeah.  
Speaker 2    00:29:45    And then next to that,  
Speaker 2    00:29:48    Which way are you going?  
Speaker 2    00:29:49    Up the street.  
Speaker 2    00:29:51    Okay.  
Speaker 2    00:29:51    On the right hand side. What was next to that?  
Speaker 2    00:29:55    Um,  
Speaker 5    00:29:57    That's okay. Lydia might have specific questions to ask you guys.  
Speaker 2    00:30:00    No, this is good.  
Speaker 2    00:30:02    Uh,  
Speaker 2    00:30:05    I don't think anything was,  
Speaker 2    00:30:07    Yeah, there was something there, but I can't remember there. Some where the Barber shop is now. Where there another, what other little store that's there then? The Liquor Store.  
Speaker 2    00:30:15    Liquor Store wasn't there? No, originally  
Speaker 2    00:30:17    The liquor store was on the back. On the back street.  
Speaker 2    00:30:19    Yeah. Liquor Store wasn't there originally.  
Speaker 2    00:30:23    I don't know where, where you're going with this. So I don't want to get  
Speaker 2    00:30:26    Interrupted. I'm going up the street, up that side of the street. Oh, I skipped Dr. Spitler, excuse me. The Colonial Inn. Mm-hmm <affirmative>. Then Dot Stables had their, their shop, which took up where, um, the thrift shop is, and the, and the ice cream shop is, she had three people working for and later wore Maribel Clark being one of them. She has, she's on the side street now. Uh, and what kind of shop was that? Hair? It was hair and nails.  
Speaker 2    00:30:59    I remember there was a drugstore there too.  
Speaker 2    00:31:02    What did I skip the, I hadn't gotten to the drugstore yet. Drugstore is next. Brad Shaw's drugstore. Yeah. Next to the nail hair and nail. Right Where the Gourmet Kitchen, kitchen Gourmet was Uhhuh. <affirmative>. Yes. Yeah. Next to that was Dr. Spitler house. He owned the, where the Safeway is. He owned the whole block. Uh, he later retired and then died. So  
Speaker 5    00:31:26    There were two doctors in town.  
Speaker 2    00:31:28    Yeah. He was your dad and Yeah. But he didn't practice very long. Dr. Spitler, he was old. Mm-hmm <affirmative>. And Dr. Spitler died. And the, the Sway bought it and built the Safeway did a poor ass job of it. They didn't build parking big enough. They didn't build a store big enough. And they didn't build a loading dock big enough, the area to drive into it. Anyway, next then, um, nothing on the back street yet, then  
Speaker 2    00:32:03    You still on Main Street?  
Speaker 2    00:32:04    Yeah, I'm coming down the side street now. It's still Dirt Road.  
Speaker 2    00:32:08    Huh?  
Speaker 2    00:32:09    It's still dirt Road coming down the side street. Five Safeway. It's still a dirt road. We did Anderson's then, as I said, I don't remember what was in between that and the liquor store. The liquor store came later. Then you had, um, Hockman who had a radio shop. Radio shop, yeah. And he did repairs and rebuilt radio. Short wave and regular radios. Then you had the house next to that. And  
Speaker 2    00:32:50    Who lived wandering around here?  
Speaker 2    00:32:52    Who lived there?  
Speaker 2    00:32:55    Hoffman's building is still there.  
Speaker 2    00:32:57    Yes. And next to that, who lived in that is next to that?  
Speaker 2    00:33:00    Well, after that you run into the Rals?  
Speaker 2    00:33:02    No, the Rals were in the White House where the mag guys is. Yeah. But who was in between maybe nothing? No. There was something in between where were common grounds? No, remember there was a big open, there was actually a big open lot. Oh, okay. It was open. It was the grass. Oh yeah.  
Speaker 2    00:33:16    You right. That's even And then there was a building in the back, which was a real estate office. Yeah, yeah. But that came later. So there's a big long Yeah, you're right. There was a big lot there. Even when I was a kid. Yeah. Before these other buildings were  
Speaker 2    00:33:28    Built. That's right. After  
Speaker 2    00:33:30    Re sold  
Speaker 2    00:33:30    God. Yeah. God. Gare lived in where Meg buys is.  
Speaker 2    00:33:34    Uh,  
Speaker 2    00:33:38    Yeah.  
Speaker 2    00:33:40    Yeah. I guess he did. And they're both, they also lived in a, I think he lived in a house that was Gar property, but he lived  
Speaker 2    00:33:50    Somewhere. They moved,  
Speaker 2    00:33:51    God's lived in a big white house that was next to that, where, where the, uh, common grounds is  
Speaker 2    00:33:57    Now. Right.  
Speaker 2    00:33:58    Um, and all that land in the back was  
Speaker 2    00:34:00    Open. That's right. And then Salamander. Um, I don't think there was anything there before then. Uh, where the bag is that was open then, Al, wasn't there a gun shop where the salamander was? No, there was something else. Was there one a gun shop?  
Speaker 2    00:34:25    Yes,  
Speaker 2    00:34:26    There was. Yes. When I came here. Yes. Like 25 years ago. There was a gunshot there. Yes. Before,  
Speaker 2    00:34:32    Actually. That's right. I've forgotten  
Speaker 2    00:34:33    All about that. I, uh, me too. I don't remember that at all.  
Speaker 2    00:34:35    Isn't that funny? Yeah.  
Speaker 2    00:34:37    Anyway, then we get to, um, the community center. Community center, which was, uh, Jack Skinner's barn. He trained race horses. Mm-hmm <affirmative>.  
Speaker 2    00:34:48    Where are you now?  
Speaker 2    00:34:49    At Community Center. Community Center.  
Speaker 2    00:34:52    Well,  
Speaker 2    00:34:53    And Hal Jackson bought the property,  
Speaker 2    00:34:56    You know, a little off face there on Jackson Center's barn. That's, I I, I worked in there. It's, it was further into <inaudible> near the house. You talking about? About a street over from, from where the library is. You get into Virginia Street and that area. There was that one of those, you can't see it now because there's, there's nothing left of it. But there was a big old house there. And in town barn, it wasn't very big. And that's where they kept Sty. And they used to take him out the back street in the back of Ridgeview and Gal. And those great big fields were Salamander. S Sp is now Right. All the way up  
Speaker 1    00:35:42    Through there. All the way up through there. He was Ty.  
Speaker 2    00:35:45    Huh? He was Ty. He was a famous race horse. Race horse, uh, that, uh, Hearst Jacobs trained in New York, and they used to send him down to Jack Skinner for conditioning. R and r Uhhuh.  
Speaker 1    00:35:56    What did he win that made him famous? Huh? What did he win that made him famous?  
Speaker 2    00:36:01    Well, you know, I've got the book at home and I can't, usually I'm pretty good on all that stuff. But they were, they were big New York races. Summers still in the existence. Uh, but he was, uh, he was a gelding. And, uh, this trailer in New York, Hearst Jacobs, who was famous in his own right. Uh, I can't remember the lady's name who owned him. But long story short, he became part of this area's lore. Mm-hmm <affirmative>. When he was here. Mm-hmm <affirmative>. And, uh, that whole area of Ridgeview used to be a little more open. Uh, when I say open, it just wasn't as, you didn't have back to back. It's like you got back.  
Speaker 1    00:36:53    Right. Right. And Jack Skinner was a local trainer.  
Speaker 2    00:36:57    Yeah. And he and my father were very close friends. They actually rode together as amateur, steep chase riders. Um, and then Jack went to training, uh, when he retired from riding. And, uh, he, uh, he ended up, uh, with a barn at Paul Mellon's, uh, where the training center is now. Right. Training center is Right.  
Speaker 1    00:37:32    Where was your house when you were growing up?  
