People DEANE,LS,DEANE,DEANE
Title   Interviewed 2/28/20<br>by Lydia Strohl <>
Speaker 0    00:01:45    So, and then we met Mr. Ter, and then one day he said, would you like, he said, I'm getting old. He said, do you think you and your husband would like to take over the store? And I said, well, I think I have to ask my husband <laugh>. And so I came home and I said to Sam, you know, do you think we should take the store? I said, you're gonna have to quit Budweiser. That's gonna be our main income. And he said, yeah. So I went back and told Mr. Rector that. And so he said, well, I haven't said anything to Mrs. Rector yet. And I thought, oh God, Sam has quit his job. Oh, geez. But everything worked out. So he gave us at Lease for 20 years, Uhhuh  
Speaker 1    00:02:34    <affirmative>. And Mr. Rector had owned that store for,  
Speaker 0    00:02:38    Well, his, um, father started it. Mm-hmm <affirmative>. He was a rector from Rectortown. Mm-hmm <affirmative>. And they lived there in that house and, and really nice couple. And  
Speaker 1    00:02:50    This  
Speaker 0    00:02:50    House here Yeah. On the side. That's known as the Rector house. Right. Yeah. And, um, he'd run the store in, he'd run it for years and years and years.  
Speaker 1    00:03:00    And his father had the store in Rectortown.  
Speaker 0    00:03:03    Yeah. Some of, I don't know whether it was his father. It was some of them. Right.  
Speaker 1    00:03:07    Some  
Speaker 0    00:03:07    Of them. 'cause his wife was a rector. She, they were first cousins. Oh,  
Speaker 1    00:03:13    So they were both rectors? Yes.  
Speaker 0    00:03:15    <laugh>. They didn't have to change the monogram. <laugh>.  
Speaker 1    00:03:20    Well, because that's what, when we first moved here, we moved here. Like, I started coming out here 20 some years ago. And when we moved to Rectortown, I had an opportunity to talk to one of the supervisors, or Virginia legislator it was. And I said, well, why can't the train go to Washington anymore? 'cause you know, you used to come to the plains and you could go straight to New York and Boston. And he said, oh, because Mr. Rector had the, was on the board of the train. And he brought it all the way up to Rectortown so that it could go to his store. And then of course, because it made that big loop, it was not efficient as a, uh, commuter train.  
Speaker 2    00:04:09    Well, there was also, there were Rector's in Rectortown. Mm-hmm <affirmative>. Mm-hmm <affirmative>. That actually donated the train station to the railroad tracks. I think that might have been before Mr. Rector. And I don't think they were actually Ken, those rectors mm-hmm <affirmative>. And, um,  
Speaker 1    00:04:27    So it was a different family. Yeah.  
Speaker 0    00:04:29    Yeah. Now, Mr. Director was a rector from Orleans.  
Speaker 2    00:04:32    Yeah.  
Speaker 0    00:04:33    Yeah. That's where they came from.  
Speaker 1    00:04:34    So there was a lot of rectors in the area.  
Speaker 0    00:04:37    That's where, I guess we get rector down <laugh>.  
Speaker 1    00:04:39    Right.  
Speaker 2    00:04:39    Because we were gonna try to start a museum in that station. 'cause Mr. Emery stayed his daughter a long time ago. Um, he's collected lots of old artifacts, farm artifacts. And he had, it used to be a Civil War journal, uh, jail.  
Speaker 1    00:04:58    Jail,  
Speaker 2    00:04:58    Yeah. And he has writing that's on the wall and all that kind of stuff. But he's collected like 25. I just talking to his wife yesterday. She calls it all junk. But anyway, um, he has his two buildings in the one building. Have you ever been in there? Mm-hmm.  
Speaker 1    00:05:15    I'd love to go in there. Oh  
Speaker 2    00:05:16    My gosh. Dude wouldn't believe it. And he has everything arranged perfectly. And so, and most of the things he has in there we're all horse strip. So it was pretty cool.  
Speaker 1    00:05:27    He really, so he has that building and the, you're talking about the building across the road  
Speaker 2    00:05:31    As well? Mm-hmm <affirmative>. He has in both. Yeah. And the one that's crossed the road is where he has all the everything. And the, the old train station still has all the old books that they had that used to be a store there. Hmm. And they have a lot of the, you know, you owe me whatever, five bucks. Right. Or whatever. And, um, so it's pretty cool, you know.  
Speaker 1    00:05:52    And what happened to the effort to start a museum?  
Speaker 2    00:05:56    Mrs. Emery, Mr. Emery's wife. Um huh. Lemme put it, I'm getting along with better. Um, I get along with, well, but this is just junk to her and it's kind of a, um, headache almost. So she was going through a lot of different things and, uh, Mr. Ery hadn't been deaf that long, so she's getting through that. And once she gets through that, we can start with something good. Because my son had graduated from college, majored in history. So we were gonna let him catalog it all and everything so it could, it could take off. It just a matter. Um, it has to be in her mind. You know, you can't have the owner, you know, not really behind it. She just doesn't. Yeah. She's changed a lot. Um, uh, 'cause with anybody passing, they, you know, things get better and they're clear. And she's starting to, um, expand her mind. Not just that, but everything. Mm-hmm <affirmative>. So it's just a matter of time. And everything in life is timing.  
Speaker 1    00:07:16    Well, it's just a gorgeous spot in the building. That's perfect. The building could be amazing.  
Speaker 2    00:07:21    Yeah. That's the thing. But I told, because her son Randy, uh, I'm sure three days, he hasn't shaved in five years. <laugh>. No, no. I'm serious. His beard is down here. He's six foot five. He's not very young either. His hair is white. Um, he's younger than I am, but he looks like 80 mm-hmm <affirmative>. Because of his white. That's, man, don't cut it. It's perfect. That's a year. He's said, you're easy market. That's right. I said, we'll put you on this. They're gonna remember you <laugh>. I said, you look, um, you look better than Colonel Sanders, you know, because you're young. Right. But he, he used to, he was the gardener at Mr. Mellon's for like 30 years. Wow. And he did all those things. So he, he, he himself has studied all the history. Uh, he's really good with, um, he'll go around to people's places and he'll prune their apple trees and that kind of stuff. So he's been to France with people with the gardens. And so it's kind of neat. Mm-hmm <affirmative>. And he, he, um, he just loves that kind of stuff down to nature. I'd love to talk to him too. Yeah. I mean, he would be, you know, 'cause I, I wrote a little bit about him, but because the, the, um, uh, museum hasn't taken off. I didn't really push it yet. Right. But he's perfect. Oh my gosh. You know, 'cause he's intelligent and  
Speaker 1    00:08:48    He knows where Yeah.  
Speaker 2    00:08:49    And, uh, and he can walk in there and people could be laughing at him, whatever  
Speaker 3    00:08:55    You'd be, Hey, how's it going? You know? He is, he is. He, he loves it. Yeah. He's not even, he's not even taking back a wee bit, you know, so he is perfect. You know, so, uh, it'll take off. You know, he's, he's also finding his way too. So everything just has to work out. Right. Where do they live? Do they live out there? She lives in, um, Marshall, um, before you get to the railroad tracks in that area mm-hmm <affirmative>. Before you get, uh, to, uh, English Chase. Right. She's like the driveway or two right before that. But I, I have to tell her first. 'cause I've been trying to write about her, you know, these articles and she just won't do it. So I was sitting there at a table yesterday and she would call people whatever they want to do it. Right. And, 'cause she knows all, everybody, I mean, like, people a hundred years old, whatever.  
Speaker 3    00:09:53    And so I said, well, Ms. Maria, I said, you're not gonna do a story, but we're gonna call it Shirley's Travels <laugh>. Because she, you know, she introduced me to all these people. So I said, we're gonna go about it this way. She's laughing. So I ain't quite convinced her yet, but it, it's getting closer, <laugh>. So, um, but she's having fun with it now. Mm-hmm <affirmative>. She's loosened up and it's more, it's more fun for it. Right. And she's starting to a little bit understand Facebook. Not quite, but a little bit, you know. So, um, you know, she and plus people, I write the stories from Facebook, they send her, they mail 'em to her, you know, they print 'em out and mail 'em to her, whatever, pictures and stuff. Mm-hmm <affirmative>. And I have members of her family on my face, little friends or whatever. So, um, but she's, she's a good source for people.  
Speaker 3    00:10:49    Right. To find people, you know. 'cause you don't know everybody. Right. And what happens, um, is you meet a person and you start talking to a person and you start following a trail. Now it just takes you, you know, pulls you in. 'cause I was gonna call, um, you might have known Bill and Judy Casey mm-hmm <affirmative>. Because they used to be with my neighbors in where I used to live the farm. And, uh, she had went to Froing Philly. He had the bp, she had like 10 brothers and sisters. Larry Lloyd, who's a big time guy in, I say big time, old time guy in Upperville. He, it was funny 'cause I wrote a story about him and I found out he was on the, um, board in a museum in Berryville. And that's what he does. Mm-hmm <affirmative>. So then I found that connection. I had No, but his wife is Judy's sister and they have 10 kids and there's like huge age gap, you know?  
Speaker 3    00:11:51    'cause um, I had no, I, chip Stein is the, the eye doctor, whatever, in Millbury. Mm-hmm <affirmative>. He married Judy's sister. And I was like, good gosh. He's really into older women. 'cause Judy is much older than I am. Right. But because they have so many kids, there's a huge age, it must have been like 20 years between them. Right. So, so there it is just a connection. No, it is. Just, once you get into it, it just keeps, you know, it just, it never stops. Yeah. June Hughes, you know her. Mm-hmm <affirmative>. Yeah. Because she was here. We remember we wrote a story about her. Yeah. And uh, 'cause she talks to Dead animals. Yeah. Dead dogs. And, um, 'cause she had the, the dog before her. We got it through June. And I wrote an article by June and, uh, just June didn't know quite how to say that she talked to the animals and how you gonna ride it or whatever.  
Speaker 3    00:12:54    So I wrote it. I was looking at Brownie, which was the dog, and I could tell what Brownie was thinking. So I started talking like Brownie, you know, was talking about her talking, and Brownie was going, I just can't, you know, what, what was she talking about? I can't talk to, so I'm talking to Brownie in the story. <laugh>, I had to get through it somehow. Right. But I, I can, you know, everybody's got their own thing, right? Mm-hmm <affirmative>. You know, so I, whatever. And, uh, because her interpretation, it necessarily wasn't necessarily that she was talking to dead animals. It's like people believe in spirits or whatever. It's more that, you know, than anything, which makes a little sense. Mm-hmm <affirmative>. You know mm-hmm <affirmative>. So takes all. And then we got this dog, uh, couple a month ago. Us 15 years. Yeah. And, um, he  
Speaker 1    00:13:49    Looks comfortable. <laugh>,  
Speaker 3    00:13:52    But, and so you're involved with the museum. The  
Speaker 1    00:13:56    Museum is gonna be where the pink box is.  
Speaker 3    00:13:58    Yeah. I know. 'cause I had interviewed, who's the executive director? Suzanne. Suzanne. Yeah. 'cause she had talked to me about using possibly some of the stories I've written or whatever mm-hmm <affirmative>. And, uh, Mrs. Lewis was my seventh grade teacher. And she's the one that's been the main force. Right. That got it going. That's right. Yeah. And, um, 'cause I was gonna do an article on her. And, um, a couple things. I'm not gonna tell you my age, <laugh>, you're not gonna find that out until I die. And, uh, she wouldn't, lemme take a picture, would not. And she didn't understand Facebook for anything, you know. And, um, so we laughed. We talked about it. And, um, but I got it in my head, you know, all of our conversations. I wrote it down somewhere. And, um, but with her being the center or whatever of the museum, it makes it more to me.  
Speaker 3    00:15:00    It may, it makes it more doable. Where, 'cause it, 'cause you probably know with Middleburg, there is like a cultural, there's huge swings. Locals, this person, that person and, um, Mrs. Lewis would bring the, uh, the upping this out of it, I think mm-hmm <affirmative>. It would make it legit more authentic. Yeah. Because she was so determined. Mm-hmm <affirmative>. She didn't have a reason to bring in business. She didn't have any of that. She just wanted to save the history. Right. You know, so that's a lot of reasons I write about a lot of the people because there a lot of 'em are passing mm-hmm <affirmative>. And the history is disappearing fast. Yeah. That's why we're doing this as well. Yeah. And it's, it's kind of, 'cause it, it's, I was talking to somebody the other day, it's like when you walk down the street, you know, I used to be in the horse business.  
Speaker 3    00:15:58    80% of the people I worked with, whatever have passed away. Yeah. 'cause I had, when I was younger, of course the owners were older and everything else, and everybody was older, but they're gone. Mm-hmm <affirmative>. And it sure takes the fun out of it. You know, I don't do the horses anymore. So it's, uh, but that's, you know, but that's part of life. But, uh, so you are looking for people to do, 'cause people to always ask me, why didn't you record the person when you I just take notes. Right. And write it. You know. So I never thought about and probably wouldn't do it anyway. 'cause some lady I talked to, she's doing a podcast or something. Oh yeah. I that the Middle Bird podcast. I talked to her, what, two days ago? Yesterday. And, um, you know, she came to me and wanted to podcasts.  
Speaker 3    00:16:54    Um, um, you know, when I write stories, I try to write on older people. Yeah. 'cause I mean, younger people accomplish things too. But older people are kind of neat because when you start it off, it's a whole different way of life. They're riding horses mm-hmm <affirmative>. To go to work or school or whatever. Um, and they saw the changes. And um, um, it's interesting with the black people, Mrs. Lewis being one of them, um, they don't complain about things. You know, how they were or whatever. They don't do that. Well, Mrs. Lewis ones right in your face, didn't, she didn't care what color you were in school and you better tow the line <laugh> or you were in trouble. Said you was the only person kicked me outta school. <laugh>. Seriously, she bust out laughing. It was just over nothing. She goes, well, I didn't mean it, but, um, anyway, it's, um, but that's the great thing about the area, if you can capture it, is, um, there's really, um, no difference in the money or color or whatever.  
Speaker 3    00:18:10    It's all, if you get in that core of people, it's kind of that nobody, you know, 'cause I'm, I, I interviewed one guy. They wouldn't let me write the story. They were actually in the, sit-in at the coach stop the, when John F. Kennedy was there. 'cause they wanted to get arrested. Mm-hmm <affirmative>. They were working with the national naacp, but they just ignored them. Right. They didn't do anything. So they went to another restaurant. They just ignored him too. So, no, they, but a month later he said something must have happened because after that they could go into any restaurant and get served. Yeah. So, but again, they didn't have any Ill, whatever. 'cause I had used to manage, um, blue Ridge Farm in Upperville. Mm-hmm <affirmative>. And her mother, her father, the, um, the wife's parents also had worked at Blue Ridge Farm. So I came up kind of the same kind of thing.  
Speaker 3    00:19:13    But they eventually moved to Upperville. 'cause there was a one room black school in Upperville. Mm-hmm <affirmative>. But there wasn't a, a high school in Folkier. You, you had to go somewhere else. And Jack that wrote a story about, um, Mr. Brooks who's in Upperville, uh, he had to drive a bus in Loudoun so he could go to school so he could get there. I wrote, just wrote a story about Mr. Grant in Rectortown mm-hmm <affirmative>. And she had to go to Manasas to go to, and she was my bus driver when school integrated. So she just didn't, she didn't care. You know, I mean, that's the way she was. She didn't care. So, um, so it's all whatever. And, um, but I started writing the, the stories one, because some people just don't think they've accomplished anything or they've made a difference, you know? 'cause you'll start talking to 'em.  
Speaker 3    00:20:12    They're like, what do you want to talk to me about? And it takes a while. Then they finally, it opens, and then when it opens, then you got it. You just gotta, you gotta try to get notes down fast enough. Yeah. So it's, um, that, and then when Middleburg Bank, um, sold there became so much negative energy. 'cause it said, oh, the town's changed, blah, blah, blah, blah. I was like, well, there's still a lot of good people here. It's just, you know, little per bank. It did change for the worst. 'cause she'd been a member for like 50 years. And Yeah. It's just, yeah, he did. Yeah.  
Speaker 0    00:20:53    I mean, I called to get my, um, balance to the other bank or to the one that took him over. They couldn't give it to me. And I said, how come we don't have your birthdate? I said, I've been dealing with this thing for 60 years.  
Speaker 3    00:21:10    Well, well they loaned the money to buy the house. Half of it. Yeah.  
Speaker 0    00:21:14    Mm-hmm <affirmative>. And I, they said, well, I'm sorry we can't do it. You'll have to go to Middleburg and give them your birthday now. Can you believe?  
Speaker 3    00:21:24    So it's, it that had, well that's all banks. They've all changed. Mm-hmm <affirmative>. You know, when Middleburg Bank became a bunch of banks, it was, they kind of start changing. Right. And before you could, you know, you knew everybody in the bank when you walked in.  
Speaker 0    00:21:40    I know. Oh, you had to do, oh, I remember when I had a business in Middleburg. Um, I needed some money. So I went to John Palmer, he was the vice president then. And I said, John, I need a $1,500 loan. And I said, and I don't want to have my husband have to sign for it. Okay. I got it. <laugh>. But years ago you had have the husband sign for it, remember? Well, you probably don't remember how, um, how long had you been here before you started, uh, work? Taking him to the store? Oh, golly. Um, 10 years Mark, maybe. No, I, I can't remember. Mm-hmm <affirmative>. Um, Angela was,  
Speaker 3    00:22:28    Oh, it must have been about 10 years. We  
Speaker 0    00:22:30    Moved here and she was about maybe six or seven years. I don't know. I could, I'd have to look it up. Mm-hmm <affirmative>. It is been so long mm-hmm <affirmative>. And we were there for 20 years. What, describe what kind of place it was when you first Oh, we sold everything from suit to jeans. It was a country store, you know, with the people that would come in and sit in the chair and then had the candy in the glass. And, um, coldest beer in town. Of course it was the only beer in town, <laugh>. And, um, it was just fun  
Speaker 3    00:23:13    Because back then it was Rector's Crossroads. Right. Middleburg, Upperville, Marshall, everybody came through here. Mm-hmm <affirmative>. It was totally different. And, um, then, um, I mean, the horse people, it was like, they'd get up off from the track. They'd be at the, the store. They'd come there from lunch or the beer or whatever. And, um, so it started changing when like, you had Walmarts and those come in when a store like that, they couldn't buy things cheaper than you could buy 'em at Walmart. Right. So they started putting Right. All the stores kind of went outta the business country stores, but they started serving sandwiches. Right. That was what I thing say, you know, was they went into the food Cru. So  
Speaker 1    00:24:01    You went much, much more to the food market.  
Speaker 0    00:24:04    Yeah. We, he had filled lots and lots of sandwiches mm-hmm <affirmative>.  
Speaker 1    00:24:08    And was that, was there a sandwich? Uh, was there a deli there when you went in there?  
Speaker 0    00:24:14    No. No. Actually we weren't even supposed to sell sandwiches, I don't think. But nobody ever came, checked us. Mm-hmm <affirmative>. But we still lot mm-hmm <affirmative>. Because it was the only place around you'd have for people to come. Right. Unless they went to Middleburg or  
Speaker 3    00:24:30    Upperville. So where are you from?  
Speaker 1    00:24:33    Uh, well I live in  
Speaker 3    00:24:34    Rectortown. Oh, I know that. But where are you from?  
Speaker 1    00:24:37    Uh, everywhere. My dad was Army. He worked for overseas. So moved. And moved and moved. And I've actually lived in Middleburg longer than I've lived anywhere.  
Speaker 0    00:24:49    Oh really?  
Speaker 1    00:24:49    Because we moved so much and then I came back to the US to go to college and then went overseas again. Came back different places. And then when I came, came to this area in, uh, 98. So  
Speaker 3    00:25:04    They've been here a while. Yeah. So why are you doing this?  
Speaker 1    00:25:08    Because I'm working for the museum.  
Speaker 3    00:25:11    There you go. But why the museum? What do you mean? I mean, why do you want to start working for the museum?  
Speaker 1    00:25:18    Oh, I've done oral histories in, in different capacities. So I lived in Pittsburgh for a while and I went to Pitt in the anthropology department. Mm-hmm <affirmative>. For graduate school a little bit. I didn't graduate, but I had a lot of classes there. So I'm a journalist mm-hmm <affirmative>. And I took the classes to help me get more interview techniques. And then while I was there, I started, um, doing some interviews in town. So Pittsburgh's a big steel city. Mm-hmm <affirmative>. And that was changing. And they wanted to capture again, like you're saying, the town had changed for the worst. The, it's,  
Speaker 3    00:25:56    It's, but didn't say we changed for the worst. We've changed. Well,  
Speaker 1    00:26:00    The, the town, right. And it wasn't all for the worst, but the town had changed because there wasn't the employment, the traditional employment. The bottom had have fallen out of that. And now they've sort of filled that in. And Pittsburgh is, is doing well. But there were whole communities that had a real, um, PR problem. Mm-hmm <affirmative>. And they had people leaving and, um, they were very, uh, they were immigrant communities. Mm-hmm <affirmative>. They had a lot of history. People had come there from other places, and then other people had come in and gentrified them. So they wanted to start an oral history project in the different communities. And it was a huge project. They're, um, 147 municipalities in Allegheny County alone. Mm-hmm <affirmative>. Um, so I had, you know, five or so municipalities that I went into did. And I hadn't done it for a while. Then I came to Washington and I worked in TV and newspapers and then moved out here when my kid was born. And  
Speaker 3    00:27:02    What's the difference between the oral history and written?  
Speaker 1    00:27:07    The, the difference between oral history and written history is when you write a history, it's a lot of different, it's a lot of different sources. Mm-hmm <affirmative>. And you're taking literal facts. Mm-hmm <affirmative>. And marrying them into one.  
Speaker 3    00:27:20    Mm-hmm <affirmative>. I'm talking about a person, just a local regular person. You know, if you read the article or you interviewed them, what would be the difference?  
Speaker 1    00:27:30    Just the medium. Mm-hmm  
Speaker 3    00:27:31    <affirmative>. So how do you, just  
Speaker 1    00:27:34    The medium. I mean, it depends on whether or not I like to go in and I've read some of your stories too, and I think you do the same thing. You, you don't put a twist on it. You don't go in there looking for a story. You go in there and look for their story. Mm-hmm <affirmative>. And because I, I really think that every single person has a story. Oh, yes. And many, many stories in every house. There's Yeah. A book, <laugh>. Exactly. So I think especially in a project like this, the, the point of the museum is to represent the community. And there are so many different voices in this community mm-hmm <affirmative>. So it's, you know, and I've just started. So like you say, you talk to one person and then you get three more people and then you start getting people who are telling you the same event from different point of view. Mm-hmm <affirmative>. So I worked for America's Most Wanted. And even though those events are very charged, you know, a murder, a kidnapping, still, everyone you talk to at the scene has a different perspective. That's  
Speaker 3    00:28:48    Right. That's right. There's a different truth. Everybody's all different, right? Yeah.  
Speaker 1    00:28:51    Right. Because they're looking at things that are important to them. You know, the mother's got a much different perspective or how she's looking or what she's looking out for than the policeman who is on the scene. So, so that's sort of the same thing, taking a look at Middleburg,  
Speaker 3    00:29:10    That's like Chris, I think the lady's name is, that's doing the Middleburg podcast. So I've tried to find it. I can't, I've never been able to find it, but there's like a million of these things, podcasts. I was like, good grief. This is crazy. I mean, I, they're just there. I mean, about everything. I was like, wow. I had no idea. 'cause I had asked her, what's the podcast? Right. I've never used the podcast. And, um, it's like, good gosh, everybody's doing it, isn't it? You know? Well I'm  
Speaker 1    00:29:43    Not doing  
Speaker 3    00:29:43    A podcast, but I mean, you know, it's like, wow.  
Speaker 1    00:29:47    So the, I think the museum is using these voices to craft the story of Middleburg and the paint box is going to be expanded so that the, the current footprint, uh, a building similar to that will be built next door and then there'll be a connecting corridor. And I think the idea is that because it's a small space, you won't be able to have a lot of things on the wall and a lot of stuff. But you'll be able to have a lot of voices. Yeah. And they'll be able, you'll be able to hopefully over time, get a big enough picture of different segments of Middleburg that you could have, um, different stories told from.  
Speaker 3    00:30:37    Because like the local papers, however many there are in my short Sure. It's like they write about all the same people at different times. You ever notice that? You know what I mean? It's like, oh gosh, there's another one. Right. And it's, they just never get out of the whatever. I, I was like, wow. And it's, um, that would be the good thing if you got out of this, that with your museum is to get out of the people that are gonna be expecting you to write about mm-hmm <affirmative>. But to get into just,  
Speaker 1    00:31:10    Well, it's the supporting characters. Right. Right. That make a, that make a place. Right. It's not just the star of the show. Yeah. It's, it's the people who are supporting that. The people who are having ideas, the people who are succeeding and the people who are failing. Mm-hmm  
Speaker 3    00:31:25    <affirmative>. You know, that's the point. Why did  
Speaker 1    00:31:27    People leave  
Speaker 3    00:31:27    There? There was the Pete, the homeless. I don't know why. Homeless Pete, the, um, you know, he used to hang around here. Oh yeah, yeah, yeah. I dunno where he is going. I haven't seen him. I haven't seen him in a while either. But we'll be sitting in church and there was the other kid, Tommy, he sits in the parking lot all the time. I haven't seen him. Yeah. They chased him out there. But anyway, we'll be sitting in Bible school and somehow he always comes up his name. 'cause you can see him through the window and, uh, he should be over here. And they started judging. I said, well, maybe then two. And so I hadn't been for like, about five weeks. So they send me a message, where are you? I said, I've been hanging out with Tommy <laugh>. <laugh>,  
Speaker 3    00:32:13    But he could probably tell you as much about Middleburg as anybody. Oh, more. Yeah. And then I, because I went over and I said, all right, I'm going over there right now. I'm gonna invite him over here to church or whatever. Boom. I went over there and he was working for seven Loaves, the people that give out money, out food or whatever in church. And, uh, he said, I'm not going over there. I said, you know what? I don't really blame you, it's just, I kind of know what you're talking about a little bit. And so I went back in there and I said, you know, but I'm gonna tell you the truth. I believe he would give me more or help me more if really push came to shove than any of y'all in this room. You are like, what do you mean? I said, because you got more and you like it. You know, you don't want to give it up. And they were like, damn. But it was true. The less you have, the more you give it away, you know. So what church  
Speaker 0    00:33:05    Do  
Speaker 3    00:33:06    You go to? Middleburg Baptist. Mm-hmm <affirmative>. And, uh, you know, so that's a great church. You can find some people there. We're gonna do a scholarship. Oh. We always have done a scholarship. But, um, the lady that that's named after was a member there for 80 years. I mean, same church, 80 years. Good. Gosh. And, uh, who's that? Nelly, um, oh gosh. Nelly. Nelly. I forget her last name. I should wrote about. And, uh, I just talked to her, her daughter, her granddaughter. She lives in, um, Florida. She has great big PR firm. She actually promotes islands, the Caribbean islands. So, um, so she started to remember,  
Speaker 0    00:33:57    We really must find out what happened to Pete now that s name. 'cause he was always down here on the corner waiting for a ride. And they lived down  
Speaker 3    00:34:06    In you ask Raymond, that's his nephew. Yeah. Cousin or brother-in-law saw whatever. Yeah.  
Speaker 0    00:34:12    Now a lot of people would come there and wait to get a ride for work. No, he would just come every day. He didn't get  
Speaker 3    00:34:18    A car. Yeah. He didn't, he he had schizophrenic there. He was. Yeah. He was something. And, um,  
Speaker 0    00:34:24    He had to go get his shots. He would tell his bed.  
Speaker 3    00:34:27    He was, um, not stable enough to, you know, and um, but it was, he would  
Speaker 0    00:34:35    Completely harmless. You know, he would just wait for someone  
Speaker 3    00:34:39    Was going toward. But we, we've had bums ourself anyway. Oh, I know  
Speaker 0    00:34:42    Exactly what you mean. Yeah.  
Speaker 3    00:34:43    Yeah. But we had bums ourself, like single sight and blue oil, <laugh>. Oh. I mean, just like anywhere else, like a big town, you know, you just, you have to call the cops on 'em every now  
Speaker 0    00:34:55    Single side. He'd say, I just don't know why you don't like me with me <laugh>, because I can't stand. You sit on the porch and beg people.  
Speaker 3    00:35:06    Yeah. I done to come and begging.  
Speaker 0    00:35:08    Did did he call himself single or did you  
Speaker 3    00:35:11    Tell him that? No, did I thought, what was the, what was the big lady's name? She lived behind. I know, but didn't she say something like, tell him single said hello or something like that single sign. Yeah.  
Speaker 0    00:35:22    Yeah. I think she probably, yeah, she's the woman that lived behind. Now's in other holes  
Speaker 3    00:35:27    Then. And she shot at him. I know. Oh, she did? She had a gun in her Brasier. <laugh>. No kidding. She weighed about 400 pounds. Yeah. Easily. And he would go back there and stay with her sometimes. And then  
Speaker 0    00:35:39    When Dan went out the back door and there she was chasing him up? No, he was running up the, the, from the house. And she was after him. And he would turn around and say, Louis, Louis, is it all right if I come back tomorrow?  
Speaker 3    00:35:54    <laugh>, after she shot him. After she shot at him. Oh gosh.  
Speaker 0    00:35:59    It's tobacco, red <laugh>.  
Speaker 3    00:36:02    And then it was Billy Bolden, his girlfriend or somebody. Then they kept backing into his car. Right. Ram in his car. Oh yeah.  
Speaker 0    00:36:09    That's helpful. He  
Speaker 3    00:36:11    Was  
Speaker 0    00:36:12    He laughing about it. Like, it really was funny though. But what did he do?  
Speaker 3    00:36:18    Think it was his girlfriend? I guess he met his girlfriend back.  
Speaker 0    00:36:20    Yes. He would, um, stay away day. And then he'd, she would sit on the front of the porch and she would do the, the back, you know, the  
Speaker 3    00:36:30    Paddle ball. The paddle  
Speaker 0    00:36:31    Ball and just sit there for hours and do that. What do we call her? Miss Fage? That's what we call her. Miss Fum again. <laugh>. Um, they lived behind the store. She and Mr. Grother  
Speaker 3    00:36:51    Because we used to have another cottage out here and we had tenants out here. Mm-hmm <affirmative>. As well. Well, we have one now, but we had some wild tenants.  
Speaker 0    00:37:01    Wild tenants.  
Speaker 3    00:37:02    Yeah.  
Speaker 0    00:37:04    For $50 a month. You can imagine. And they were here when we moved in Uhhuh, <affirmative>. And you'd have thought that we were interrupting them, you know, so, so you inherited the tenants? Yeah. Well, um, yeah, it was, they were something to get out. But uh, and the one that lived over here, she was something, she was single and she had a boyfriend whose wife got in there one night and she stayed all night. Mom saying whatever his name was. You gotta come out of this house. You gotta come out of this house. You gonna to the Sam if you don't go out there. I out there <laugh>. Oh yeah. And my father said, this is one time your mother didn't exaggerate because she hated it. We moved up here. 'cause we had lived very close to them. Mm-hmm <affirmative>. They'd come up every evening to see the kids. You know, he said, not, I don't worry about Jane and Santa. There's four pitiful little children. <laugh>, they both came to die in this house. Yeah.  
Speaker 3    00:38:16    And they, my parents, they're buried in Upperville. In fact, our great great greatgrandfather, or mine is buried in Ville. And they, he owned the oldest house in up the Buck Rose House on the other side of town. And then, um, so they, your family's been here for like mm-hmm <affirmative>. <affirmative>. My father was from Charlottesville. Mm-hmm <affirmative>. But,  
Speaker 1    00:38:38    Uh, and so you were living closer into Washington, but you came out this way?  
Speaker 0    00:38:43    Fact, yeah. We were in er  
