People       LS,TAYLOR
Title        Interviewed 3/7/20<br>by Lydia Strohl <https://middleburgmuseum.org/wp-content/uploads/2025/03/HeatherTaylor-scaled.jpg>
Speaker 1    00:04:58    Yeah. He, he would've been, um, this year 60. Mm-hmm <affirmative>. And I'll be 80. So he was a young <laugh>. Right. We were young. You were a young mother. Both of us were young. Yeah. Right. Had a lot to learn, but he was a really great little baby. <laugh>, very easy. And  
Speaker 0    00:05:14    Then you have a son,  
Speaker 1    00:05:15    Jim and I have some Jim mm-hmm <affirmative>. Um, a friend of yours I here. Yeah. And me, Jim was born in Washington, and then my daughter, Kristen was two years older than Jim. She was born in Washington as well. Mm-hmm <affirmative>. And they were, Jim was pretty small and Kristen was about two when we got out here. Right. Yeah. So they were, no, she was older than that. She was four mm-hmm <affirmative>. And she was born at 66 and he was 68, so Right. He was a little 2-year-old. Uh, then we moved to, we moved to, um, a house past Upperville on the right hand side. Um, I think the days lived there. Do you know them at all? Mm-hmm <affirmative>. They spent a lot with it. It was a funny house that belonged to the, we rented it, um, and it belonged to the house next door, or the farm next door. Mm-hmm <affirmative>. And it was a farm. If you go up toward Paris, you look off, there's a driveway going way up there. Oh yeah. Up to the hill with a lot of trees planted along it now. Yes, I've seen that. And that's it. And a big old stone house, Uhhuh, it was practically empty and the kids could ride their tricycles around this dining room, which was like, as long as this room had empty <laugh>.  
Speaker 0    00:06:25    What was Middleburg like when you first  
Speaker 1    00:06:27    Moved here? Well, that, that's the thing. It was so, uh, different from today. You know, it was all, um, so many different stores. There were two hardware, um, two hardware stores. Two drug stores. Um, a wonderful grocery on the corner where the, um, what's it that, um, oh, shoot, Creme de la Creme de la Creme. Yeah. Where that was the b and a. Mm-hmm <affirmative>. Was in there. You get anything in there, you know, sort of like with the Safeway, but you could go there and get like a little filet and they would fix it for you. Totally. And then you could get, you know, go in anytime and you pick up what you wanted. Mm-hmm <affirmative>. And Mrs. Edwards, or in it with her, her son, two sons, said they were wonderful. So she, she told me after my husband's accident that he died and I had the lumber company.  
Speaker 1    00:07:22    She said, you'll never have a minute's piece. She had this funny voice, she said, and you'll have trouble getting people to pay you. I was like, oh my God, <laugh>, that really worded me. And it, she was right in away <laugh>, but she was always sweet and just, you know, she'd do anything for you. So I wouldn't see that. They had a butcher shop in there. I hear a wonderful Butcher, butcher. That's what they did. You see, they did all this, got meat, and they actually had the, the side of beef in the back, in the cooler. So they cut it and they did everything with it. So that's, that's where you'd like to buy your meat. Mm-hmm <affirmative>. <laugh>, you know, it's unusual, really. I mean, of course I didn't have that Bethesda, you, you know, was nothing like that, but it was sort of like back in time to go to the b and a.  
Speaker 1    00:08:07    Mm-hmm. Mm-hmm <affirmative>. It was wonderful. So anyway, it was good. And then the hardware, you could always go in there, Billy Lee Hardware, um, which is where there's an antique store and t rector's right. In that area. And then across the street was Mark Hardware, which who was a German. Mm-hmm <affirmative>. Um, had a little place, not sure what that is in Incorporated into now. Um, sort of where the, there's a dress shop there, but it wasn't that big. Right. You know, it was a smaller place. Mm-hmm <affirmative>. But, um, so he had had drawers, you know, everywhere. Oh, yeah. And it was just fabulous. You could get any kind of screw or nut or whatever you wanted, <laugh> mm-hmm <affirmative>. He had it in there. So that was interesting. Um, and Billy Leach was an absolutely lovely person that had the big hardware, and he, he just carried everything you could think of.  
Speaker 1    00:09:03    Mm-hmm <affirmative>. And I guess there's hardware at Middleburg Millwork now, right? There's some there, they have some, but it's not, you know, the same kind of stuff that's, that he had, um, even in the summer had, you know, things to, for kids to play on and, you know, napkins and just all that kind of stuff. Right. Different, you know. And then, uh, what else? And the, our drug stores were, um, was one on the corner where that Mexican restaurant is. Right. That's there. It was there. I didn't go in there much. But then another one with, you know, the old is what is now the, the, um, was the rug store. I think they moved, right? Or are they, I guess they're in the gold drug store now, right? Yeah. And Lil is on the front. The hairdresser. The hairdresser that was there. But when I came, it was a soda fountain on the right when you went in.  
Speaker 1    00:09:52    And they sold all kind of little toys and things. And then the, the drugs part was hilarious because there were two old gals, and I'm not sure if they were related to the druggist or not, but they knew everything about everybody in town, <laugh>. So whatever they'd be like mm-hmm <affirmative>. And they one had little glasses, <laugh>, and we've heard some funny stories about them, but they were great. You know, it's this like small town. And they were the cashiers, or they were the Yes. They helped you. The Drugist was, he was doing his business. The pharmacist. Pharmacist, yeah. Was someone who had like a license for that. Yes. And so they were just the worked in the shop, they were just, they helped there. I always felt like there were some, there were some aunts or something of it. Right. And they may have been, I for, I know Gloria Armfield would know.  
Speaker 1    00:10:39    Okay. Or Howard Armfield. Have you talked to them at all? Not yet. They're away. But they, they are absolutely, the two of them would know everything about Middleburg <laugh>. They, they've been here all forever. Well, he grew up here. Mm-hmm <affirmative>. His mom was in the bank, and, um, after his dad died, and then Gloria's father was a minister here. Mm-hmm <affirmative>. So, you know, they, that was a long, they've had a long history <laugh>. But, um, but I just, you know, I just love the town and I still do mm-hmm <affirmative>. But now there's like no place there. It's something you need. Right. You know, like a hardware item that you might want, or, uh, the stores are expensive for dresses. There used to be the reliable, um, in there where that bridal shop is Uhhuh <affirmative>, that's all been redone, but the, the Reliable Store with sold socks and underpants and shoes, sneakers, and all kinds of stuff.  
Speaker 1    00:11:38    Mm-hmm <affirmative>. You could go in there. Then that, I don't know how long, that's been gone a long time. So there's nothing like that now. And I'm hoping The Fun Shop doesn't leave. I know. Me too. Oh my goodness. The Fun Shop is wonderful. <laugh>. They do have it All right. You know, it's for sale and there's so much. I know. I just hope that they're just tired. I mean, I knew Nancy that started it, and, uh, it's been a long, it was long before I came. And she was a friend of my sister-in-law from Berryville. Mm-hmm <affirmative>. Who, um, and she started it in Winchester and then came down to Middleburg, and I guess it was very successful. And then her husband had the photo studio, Howard Allen. Right. Took a lot of pictures of, you know, the Kennedy's and on on and on. <laugh>. That was, that was good.  
Speaker 1    00:12:25    Nice. That was a nice thing to have town. What else would I thought? Yeah. Well get, I've got the B and a, um, yeah, the banks, the banks have been here. They, you know, here they do a good job. Mm-hmm <affirmative>. Two banks in one little town, <laugh>, that was good. And I was coming down in, into the bank one day, and I luckily was still my car on the road. And I think that's the first and only probably problem that they had in Middleborough with a bank robber, <laugh>. He was coming. He came in and apparently, um, went and demanded money. I think he got some, but they had called the police. So when he came out, he shot the windows out of the police car. And I think the police were already out of, they were, nobody was hurt. They were out of the car. But he was a bungling, uh, crook because he then drove straight down Route 50 and was car nabbed at Aldi <laugh>.  
Speaker 1    00:13:24    So, but that's the only time I've ever heard of anything happening. Wow. And you saw it, but I was on, you know, coming in from out of top, like, what's going on? You know? So I stopped. Anyway, there was a big, a very exciting moment. <laugh> in Middleburg. And the crime, crime history. When was that? You know, I don't know. I would know. It must be at least 30 years ago. Mm-hmm <affirmative>. Someone, but someone else would remember that. It's such a good thing. It was so, you know, it's just so unusual. Right. It was like sort of a, what is it, Andy of Mayberry type, but we didn't have Barney Fife <laugh>. It was so cute. Oh. Anyway, that's a good thing. But it's, it's been, you know, it's been nice living here. It didn't, obviously I wouldn't have stayed for 50 years. Right. <laugh>, lots of good friends. Was your, um, husband from the area?  
Speaker 1    00:14:19    No, he's a, I think my husband, the current refer, former, former former was born, uh, his family was from Manassas. Mm-hmm <affirmative>. They had a farm, uh, in Bristow, which all now develop. Right. Um, but he was still owned by his aunt, uh, in the Smiths in, um, in the sixties before they died. Uhhuh <affirmative>. And, um, then everything started to change, you know, around the time the 66 came in mm-hmm <affirmative>. And I couldn't even find the farm, except I know that the land is where the Manassas Airport is now. Huh. From that. So my nephew, Tommy Leachman, he, he, you know, sort of resource all the family history. Right. And gone. There's an old graveyard there. Uh, and they, of course, they can't do anything with that, but there's, it's surrounded by, um, industry. Right. And then my daughter came, she's in California, she lives there.  
Speaker 1    00:15:16    And, um, she went with Tommy and they went all looking all around. Mm-hmm <affirmative>. Because the Leachman, there'd been a Leachman, um, involved with the, the Civil War as a guide during the Battle of Bull Run and all of that. Huh. And his picture was in the, or a painting with, with his name was in, um, the Manassas Battlefield Museum. So they're from the area. And they moved to, to Washington in, gosh, when my husband was young. So they must have moved in like 40 mm-hmm <affirmative>. During the World, world War ii. And I think his father was influential in building, um, temporary housing on the mall in a temporary offices and things. Huh? That they had that, you know, for the war effort. I be, I saw those, actually, they were still there when I went to school in, in Washington. Really? Yeah. They were buildings for the Navy Department, I think. I'll have to look that up, huh. Because they, there was still something there.  
Speaker 0    00:16:18    And were they for, like,  
Speaker 1    00:16:20    They were for the war effort. In other words, they were for  
Speaker 0    00:16:23    Officers, for soldiers  
Speaker 1    00:16:24    Offices, not for soldiers, but for the people to work on, you know, things for the Navy. Right. I think the Navy, particularly Army must have been everything, but they were there. I forgot what they call those. Anyway, that was interesting. That's my father-in-law was in the lumber business guard. They got into that. So that's how they did. So probably supplied a lot of lumber for these buildings right now. But anyway, it's an interesting, interesting that one,  
Speaker 0    00:16:54    The lumber company, um, that was in Upperville was at the end, the other end of town where the Southern States is  
Speaker 1    00:17:01    Now. That's right. That was it. Yeah. It was our place. And it's was sold to a guy that I, that came in and was working there with me, and then he wanted to buy it, and then he, so I let him buy it. I kept the land, and then he bought it, and then unfortunately he went bankrupt. Mm-hmm <affirmative>. So that was a big, another big thing. Mm-hmm. Coping. But, um, then I sold it to somebody from D La Plain eventually, and then Shelby Bonnie bought it. Mm-hmm. That was good. That was good news for everybody. Right. Because he could, you know, do something with it and keep it. But Southern states, I hope they do a good business. It's hope they too. It's a good place for them. I see their truck coming down this road. Mm-hmm <affirmative>. Going over there to some horse farm. Um, so that's good.  
Speaker 0    00:17:48    I know. As convenient as when they were right  
Speaker 1    00:17:49    Here, but, oh no. I love the old Southern days. Oh, I couldn't believe they left a day. I was like, why are you leaving <laugh>? We got lots of bird seed. When you see out back, we're bird watchers, Uhhuh. And so we've got a lot of bird, bird, uh, feeders and things. That's our hobby.  
Speaker 0    00:18:05    How did you to choose this piece of property?  
Speaker 1    00:18:08    Uh, this was, um, belonged to, uh, bill Grassy, who was, um, triage's stepfather. Mm-hmm <affirmative>. His mo triage's mother. And the stepfather owned the house down there. Um, you, you could see it right when you go out. And they, I think they basically owned all the land up, up to the end of the road. Mm-hmm <affirmative>. At one time. Um, yeah. The arm fields, none. Those two houses were new. This was new. We bought land from him mm-hmm <affirmative>. And so did other people who we bought 35 acres, so they were on the corner of it. And it goes back in the wood, a lot of woods. Um, and there's an old silo back there that, um, I don't know who built Pat <laugh> anyway, um, you can drive back there and go out to the field. And we had a bunch of ponies mm-hmm <affirmative>. When the kids were riding, you know, we have a barn back there, and there's barns actually right back here. But, but excuse me, they it some more.  
Speaker 0    00:19:16    Did your children, um, do pony club and Fox Hunt and  
Speaker 1    00:19:21    Yeah. Um, bill and Kristen, um, bill particularly, he rode a steeplechase and when he was a teenager, so he was, um, he had, he was in pony club, and then Kristen, um, did a lot of riding with Mod and Kate, arm Field and Lizanne, and she had quite a group. Mm-hmm <affirmative>. And luckily for us, she moved into the Washburns barn and did all her, um, riding from there. Uh, and sadly, she, you know, was involved in a, you know, a shooting and all this kind of thing. Not her, but her former husband. Huh. Have you ever heard of her Modern? No. Well, that's quite a story. <laugh>, she's died now, but she, um, it was, you know, well, you don't wanna hear that online <laugh> tape, but, you know, she was with someone else and her husband came and he actually shot and killed the person she was with. Oh no. Oh yeah. And then, well, she  
Speaker 0    00:20:18    Had the barn.  
Speaker 1    00:20:19    Yeah. Yeah. And my daughter got a call, 'cause we were, had just been, been Bermuda and just gotten back. And so Kristen answered, and it was one of her friends calling to say what had happened. And she was like, no, no, no. You know, because we, they loved her. She was a great gal, but, you know, things happen. And he was, he went on trial and actually he, he got off. Really? Mm-hmm <affirmative>. He was, you know, one of those like love triangle sort of things. It was <laugh>, it was written about a lot at the time,  
Speaker 0    00:20:51    But it didn't really, it wasn't really, she wasn't at fault.  
Speaker 1    00:20:56    No, no, no. That she was dating this fellow. Right. And she was still married to, um, Ted Gregory, that was his name. Mm-hmm <affirmative>. Mo Gregory Mode Moderna. Um, so that's another kind of scandal type thing, but serious, you know, <laugh>. Right. But the kids were like, oh my God. They couldn't believe it happened. But, but he was, he he got very upset. 'cause I knew him too. And I'd seen him because they were separated and he, I said, well, you know, you just have to get over it now and get on with your life. And, uh, he just couldn't. Yeah. No, you gotta, you know. Well, anyway, but they, you know, the horseback riding has always been a lot of fun. And my granddaughters, or Hannah is the one Right. That does, she does a lot of riding.  
Speaker 0    00:21:45    She  
Speaker 1    00:21:45    Shows, do you know Hannah? Mm-hmm <affirmative>.  
Speaker 0    00:21:47    Yeah. She shows her horse.  
Speaker 1    00:21:49    Mm-hmm. Yes, she did. I think since she's been away at school, she's Right. Gotten out of it. But she still goes down to the barn and when she's home and rides some horses for 'em. Right. She enjoyed that a lot. And that, that's the thing, when you go off to school, it's you, but it's a wonderful thing for, you know, if you're not gonna continue it for your whole life. Right. It's a wonderful thing for early teenagers and, you know, all the early childhood sort of thing. They had a lot of fun.  
Speaker 0    00:22:16    It's a good skill to have. My, yeah. Grandfather had a horse farm and we rode early and it's, did, it's something, it's hard to learn as an adult, that kind of balance. Well,  
Speaker 1    00:22:26    You can't, I mean, I never could. I, I went out with Billy and he said, I'm gonna teach you about his calm horse. And went out and tried to, uh, learn how to jump and do some things and I just fell off promptly. And I thought, this is not for me, <laugh>. Right. You know, but we went to Montana many summers. My parents started going out there years ago, and we'd take the kids and so they could all ride really well out there, especially on a western saddle. Mm-hmm <affirmative>. And we, I could ride and ride my husband, Richard kid ride. We rode on really slow horses, you know, they wouldn't do anything, but they, their group went all charging around. We just looked at plants and things. Right. Had a good time. But it is a nice skill. And the fox hunting, that's what I wanted to do. 'cause I thought it looks like so much fun. Right. You know, and then this mo would take the kids, and of course they had to stay in the back, but you'd take, you know, maybe six of them and they would ride behind. And so they got to see it all. And then they'd go just hunt breakfast. Mm-hmm <affirmative>. Good time. It was nice. That was a good, that was good times for them.  
Speaker 0    00:23:29    So they had their own ponies here.  
Speaker 1    00:23:31    Yeah. That they could, had the ponies here, and then they could just go down there to, to the lessons and, you know, to take rides out, out in the country. Mm-hmm <affirmative>. I have a brother-in-law who from, he lived, they live my sister's husband. They live in Vermont. I mean New Hampshire, sorry. And, uh, when he came down here, he's first time, he said you could just ride forever. So he rode over to Marshall. Right. Because he's a good rider. <laugh>. And he, so he enjoyed it. And it's true because it is so open, you know, and I think it will remain like that, hopefully. Right.  
Speaker 0    00:24:05    I hope so too. We hope so. If there's enough people putting their properties in easement that you can  
Speaker 1    00:24:10    Mm-hmm <affirmative>. Through, you could go around, but all the Orange County is here. So if you follow, you know, they have trails mm-hmm <affirmative>. You can, you can go to Marshall almost, and it's really lovely. But your house is the one in Rectortown mm-hmm <affirmative>. With the prettiest view in the whole world. Oh God. We go up there, look bird watching in the winter and looking for owls. And so, uh, but I, you know, seen your house with Fe 'cause kit was there. Right. But, um, but that view, oh my goodness. It's just wonderful. Don't you think? So when you look out the window, you look, oh, those mountains. <laugh>,  
Speaker 0    00:24:46    There's a fox family that lives in that. Ooh. Well, when we moved in there, it was just a couple of sly branches. It's turned into like a tree. Oh. And it saw just on a big rock. And there's a fox family in there and all kinds of birds and Oh God, that's so, it's so nice. It's a field, but because of that one tree, there's mm-hmm <affirmative>. There's a lot of B going on out there. Yeah. Where do you see the owls?  
Speaker 1    00:25:10    The owls, the first we saw them was, um, down across the bridge up and then over to the right where the melons, uh, have a dump back in there. Mm-hmm <affirmative>. And this was probably 20 years ago, we were out there and we're like, and it was like three in the afternoon and we didn't go to look for them. And we saw a shorted owl and we like God. So we, um, called um, George over at the American Bird Conservancy mm-hmm <affirmative>. When we got home. And we said, we saw this owl, short deer owl. And he said, that's possible. Somebody else said they had seen one. So after that, each year when it was not this year, but when it's really cold, they would be coming down, you know, they from the north. 'cause that's where they are. Right. And so they, last year there were a lot of 'em, uh, out by per per perceval road and Foxcroft Road in that big field.  
Speaker 1    00:26:05    And there's a cornfield across. Yeah. And it dusk, they would be going all around. There're so beautiful. So, and then where else did we saw them also, um, uh, past your house and then sort of on the circle and then off to the left. Right. And then there's an old tenant house on the right by the Degas property. Right. And you park there, and then you could see 'em and they would sit on the fence post. So it's worth thinking about next winter. Yeah. <laugh> just go along there. You after the sun, but just in the sun setting and they're there. Yeah. And also the Crenshaw Road out of Rectortown. Mm-hmm <affirmative>. Uh, that's another bird spot. Um, not very far in Crenshaw. We're still up right in this opening to the, to the west. To the west. You see them. Yeah.  
Speaker 0    00:26:51    Well, and on the other side of the road where that, um, I think there was like a dog show grounds there. Yeah.  
Speaker 1    00:26:58    There's something there. That's right.  
Speaker 0    00:26:59    And, um, a friend of mine, when I first moved to Rectortown, she took us out there at dusk to hear the Bob Whites. Oh,  
Speaker 1    00:27:08    See now I never do that. Ah, that is so interesting. I wonder if they're still there.  
Speaker 0    00:27:14    I don't know. Oh,  
Speaker 1    00:27:15    But how long has that been?  
Speaker 0    00:27:17    Uh, well, she died five years ago, maybe. Oh,  
Speaker 1    00:27:24    Not funny. The bird that never trickled down, that this was a Bob White spot.  
Speaker 0    00:27:29    And she very good. Um, well, she was young. I mean she was young. Yeah. But her, so we, we must have moved to Rectortown. We moved to Rectortown 12 years ago. Really?  
Speaker 1    00:27:43    And so you didn't live in that house, so you must have moved to a new house.  
Speaker 0    00:27:46    Right. We lived in Rectortown. Yeah. Um, but in a different house. Different  
Speaker 1    00:27:50    House. Oh, I didn't know that.  
Speaker 0    00:27:51    And had more property. Okay. And then, um, when the older kids went off and we just don't, you know, we didn't need that much. No. And then Kit's house came on the market, so we decided that was a nice place for us.  
Speaker 1    00:28:04    Great. Yes.  
Speaker 0    00:28:05    To be, to have the same friends and the same  
Speaker 1    00:28:08    Area. Yeah. You're still in Rectortown. <laugh>.  
Speaker 0    00:28:10    And we had never wanted to move to sell our house before because we didn't really wanna leave Rectortown. So it was like the perfect thing to  
Speaker 1    00:28:17    Have happen. Yeah. That's perfect. Perfect. That,  
Speaker 0    00:28:19    That was, and our old house, we had a long lane and there was owls in the trees on the lane. Yeah. That we would hear at night. Well  
Speaker 1    00:28:27    See they, that's so good. Now, who owned that house before? Doctor didn't build that house, did you? With a long lane?  
Speaker 0    00:28:34    No, that was the Bob and Betty Morph.  
Speaker 1    00:28:37    Oh, well that's, I love them. That's so nice. I've been in that house. Yeah. I didn't know who was in there. I just  
Speaker 0    00:28:43    Knew. Yeah. That was our, we lived in there for 12 years. Oh. And then we  
Speaker 1    00:28:46    Moved. Isn't it funny? I mean, such a small place. But Chris, you're young and you're not in my age group, but, um, I've seen you before. Right. Because as, as I saw you was like, I know her. But, um, but that house was lovely. I thought they were just dear people, both of them. Right. Just  
Speaker 0    00:29:01    Right. And that Oh, she had beautiful landscaping and Yes,  
Speaker 1    00:29:04    Trees  
Speaker 0    00:29:05    Had fruit trees and  
Speaker 1    00:29:07    They just loved that house. Then there's  
Speaker 0    00:29:10    A lot of, a lot of wildlife there. We see. Mm-hmm <affirmative>. We have, um, oh, my dog caught a groundhog one time. <laugh>. We have all kinds of critters  
Speaker 1    00:29:19    Here. So you've been living there and not in Washington. Are you in Washington too?  
Speaker 0    00:29:24    Uh, we're in Washington during the week.  
Speaker 1    00:29:25    Yeah.  
Speaker 0    00:29:26    Okay. Of my son to be. That's right.  
Speaker 1    00:29:27    So where are you now? Where are you living there?  
Speaker 0    00:29:30    Uh, we live right by the cathedral.  
Speaker 1    00:29:32    Oh, I know.  
Speaker 0    00:29:33    Actually, we're just renting a place because he goes to Sidwell.  
Speaker 1    00:29:35    Yeah. Is that Cleveland Park? Mm-hmm <affirmative>. Yeah. Cleveland Park. It's very nice road. So he can, after my old days, days knew people in there. My cousin lived there. <laugh>. Right. Yeah. It's a good spot. So your son's at Sidwell Friends, right. Good place. That's where my first husband went. <laugh>. That's his school. Oh, is that right? Yeah. Huh. We knew people from there. I  
Speaker 0    00:29:54    Didn't know that.  
Speaker 1    00:29:55    Yeah, that's maybe Kelsey did tell me. That's an old school. School, right? She might not have known that. No. Maybe she didn't I not <laugh> some old news. Right. I mean, we, my husband and I, Kurt had, we've known each other for 40 years. Yeah. You know, married for 36, but we can, or almost 37, we can't believe it. Right. And a lady that, that really is a shock. <laugh>. You know, when you had that birthday, so  
Speaker 0    00:30:20    Your first husband died young?  
Speaker 1    00:30:21    Yes, he did. He was 42. Oh yeah. And then, yeah, I was 30, 36 I guess. Oh my  
Speaker 0    00:30:27    Goodness. That must have been so  
Speaker 1    00:30:29    Tough. A widow. What? 36. I know. Someone said you should write one of those sob stories. <laugh>. That's right. Anyway, it was, it just was a lot of coping. Right. But I'm still coping. Not with that.  
Speaker 0    00:30:41    There's always things  
Speaker 1    00:30:42    To cope with. Other things. You always cope, <laugh>. That's right. Right. My daughter said, when you, I will put on your tombstone, she coped <laugh>. Thanks a lot. Well, that's a good, I did  
Speaker 0    00:30:53    The lumber business then in, in Upperville. Who did you supply? Did you do the building still then  
Speaker 1    00:30:59    After, um, we did, um, some, some lumber. We always sold lumber. Mm-hmm <affirmative>. Then we ended up making a lot of stairs for people. Stairs. We had a, the stair building was there. Uh, we good. A good guy to do that. And then we had a mill, well that was, um, a few years after my husband died that we closed the mill. Mm-hmm <affirmative>. But we made millwork. Like all this is made by the mill. Oh wow. The, the paneling. And then that's beautiful mantle piece and the stairs and the, all that. But we, when you go around middleburg, uh, in people's houses, you, I could see it was Harry Adams. He did it. 'cause he's the man that worked in the mill. It was a tall black man. This is the sweetest thing. And he, um, did paneling for probably 30 years for people around here. And usually it would be pine. Mm-hmm <affirmative>. I showed the library and he had a library. He did that. And that would be his usual was to just have the wood finish. And so he did the library in the kitchen, in the wood finish here. Mm-hmm <affirmative>. And the library's still the same. The kitchens, we had to strip the cupboards and put more, you know, put some other nice barnish on them. Mm-hmm <affirmative>. But most everything is, is stayed well. But he, he did. That's kind of, well  
Speaker 0    00:32:18    This is all so beautiful. Did he do it by  
Speaker 1    00:32:20    Hand? No, this one is that is, is purchased. Oh, I see. And those wa that's Waynes coating and all those little, they're all, they're, they were purchased, but mm-hmm <affirmative>. He did this, the regular panels and that door mm-hmm <affirmative>. In that door. That's the screen porch. The best room in the house. <laugh> out there in the summer. But I, we could do anything. He made the front door. The front door is beautiful. I was noticing, but I was standing there. I got it. A guy that's in the Hamilton and he comes once a year to just do something to it, you know, put some more finish on it and scrape it and stuff. Right. Because unfortunately it's in the sun. If it was on the backside, it'd be fine. But it just bleaches, <laugh>, it gets really tough. Mm-hmm <affirmative>. Yeah. But I was thinking about the things that are a middleburg, uh, that, that I notice when I, when I drive around mm-hmm <affirmative>.  
Speaker 1    00:33:15    Um, that it sad, it saddens me because there are, there's so many people out here now maybe that aren't really country people, not that I am, but they seem to put a gate up on their place. Mm-hmm <affirmative>. And so they're, 'cause they're worried about burglary and I don't know. Or maybe they're not there all the time, you know, you can understand why they do it. But there didn't used to be those, you know, out here. And also there's weed eating is gone rampant. So that every fence line, all the habitat for the birds, insects, animals is mowed. Right. Or weed eat. And then up here, the other day that you go up the road on the left, whoever bought Jane McCleary place who was a, a writer and wonderful person, they had that place for forever. They immediately started taking down the trees. No, I saw that up there.  
Speaker 1    00:34:16    And they, you know, it's, they'll for cash. And I talked to one of the lumber guys. 'cause I was like, you know where, what are, where's the saw mill for these trees? All, most of 'em are going out of the country. That's what he told me. That made it even worse. <laugh>. And then they left this huge pile that was obviously they didn't want. And so they just made this huge mess. And then after they did that, I'm already already mad about that. Then you turn left and go to 50, they completely strip that whole piece of land there. Mm-hmm <affirmative>. And that wasn't bad enough. But then the other day, here comes the weed eaters and they took all the briars and brambles that were all around just gone. Right. So I think that's so sad for, you know, it, this is, I just love plants, birds, everything.  
