People LS,STOKES,STOKES
Title   Interviewed 1/24/20<br>by Lydia Strohl <>
Speaker 1    00:13:57    Well, you know, I was asked this, uh, yesterday of somebody really, um, my, the social, uh, experiences that I started with came through the church mm-hmm <affirmative>. Um, which is, was natural for me because growing up in New Mexico, you know, living out in the country church meant a lot to us. Um, that's where I met the older women who really took me under their wing. Mm-hmm <affirmative>. Uh, the debuts women and the Plaskitt women, uh, all in the church. And, um, that's where I started the Sunday school. Um, <laugh>, I had three children. Two of 'em were mine, <laugh>,  
Speaker 1    00:14:42    The other one was a Bentley. Um, it, the, everything sort of for me was surrounded, was inside the church surrounding sort of things. Mm-hmm <affirmative>. And, um, gradually then I, which was easy because the families around here had all been at Air Shere many, many times with, and Alan's parties. So she would have these parties than I'd meet more and more of their children. Mm-hmm <affirmative>. Young people who were my age. And it was a, it's, it's a real wonderful village. They protect, we to protect each other. We, uh, support each other. It takes a village and we do it right. And it's been that way the whole time since I've been here.  
Speaker 0    00:15:32    So it was a very welcoming community. Welcom, when you came here, very welcoming. Mm-hmm <affirmative>. Must have been a huge difference from just even being cold <laugh>. Like you must have felt very different here. Um,  
Speaker 1    00:15:44    I did, but I felt, um, uh, I felt safe the same way I do in New Mexico, because family comes first. Mm-hmm <affirmative>. And Tommy's family was just wonderful. And he loved my family. Right. Uh, and he loved New Mexico. Just like, I loved Virginia, but the family was the, the core mm-hmm <affirmative>. And, uh, I had sister-in-laws and I had brother-in-laws and the nieces, and, you know, and I still have it. I still have it.  
Speaker 0    00:16:17    And so, when you came, um, what family did he have here?  
Speaker 1    00:16:23    Tell me. Had his mother and his sister and a brother. Mm-hmm <affirmative>. Um, and his brother went to prep school and Helen Wiley, then she went to prep school too. Mm-hmm <affirmative>. Before she married. Um, I was very close to Tommy's mother. We were really best friends. Um, and did a lot together. Uh, that was the, his family with Aunt Allen, who was the, and she brought in all the ones on the fringes, all the nephew in-laws and the nieces and the, their children and all. And the Christmas time, they would all come to Asure and it would be quite a large group.  
Speaker 0    00:17:04    That's wonderful.  
Speaker 1    00:17:05    And we'd always have our Christmas meal. And, oh, the big tree was so big. It was, it had to reach from this side to that side, to that side up there. And, and I used to, at the end, I was the one that decorated it, going up on the ladder. Um, 'cause Malachi, who used to work for, couldn't go up on the ladder at the end, but mm-hmm <affirmative>. He directed and she directed. She said, there are too many red balls on that side. So I turned the ladder over and, but it was just, it, you know. Oh. And I blew the whole, all, all the electricity on Christmas Eve. One time I plugged it in and I blew everything Christmas Eve. And we got a man to come from Marshall, and he, because Aunt Helen had to go up and down in the elevator. She couldn't walk the stairs. Mm-hmm <affirmative>. She was elderly. So that left a big mark on the family. <laugh>, I guess, I guess. No, we, it, it was very special.  
Speaker 0    00:18:06    What was your, um, Christmas tradit? What were some of your Chris Christmas traditions, uh, that when you got together?  
Speaker 1    00:18:13    Well, Christmas Eve, of course, is the, the most special, um, to me and to my family. It was because that was when people started coming, you know. And, uh, I always had the Christmas Eve dinners at my, my little house. Mm-hmm <affirmative>. Which is my little house. I just loved it. Um, and then Christmas morning we did our presents and then got dressed up, and we went to the big house for the big Christmas, and the prac gifts were passed out. Then we went into the dining room and had the big dinner, and it was big table. Mm-hmm <affirmative>. And it was, it was, it was something you looked forward to.  
Speaker 0    00:18:59    And did you go to church on Christmas?  
Speaker 1    00:19:02    Christmas Eve? Mm-hmm <affirmative>.  
Speaker 0    00:19:04    So they would go to church and then come back and have dinner. Mm-hmm <affirmative>. Mm-hmm <affirmative>.  
Speaker 1    00:19:07    And the children were always in the pageant, uh, until they actually, once they were confirmed, they sort of, you know, they were acolytes and things, but they, they couldn't fit it in as they got older. So it had to become their choice. Mm-hmm  
Speaker 0    00:19:27    <affirmative>. And where did your children go to school?  
Speaker 1    00:19:29    Uh, hill School. And then, um, one went to Exeter, one went to Stormy, went to St. Tim's. Um, and Clayburn went a couple of places, <laugh>. But, um, Woodbury is where he went.  
Speaker 0    00:19:47    Um, so they stayed straight. We should back up and say, uh, the names and when your children were born.  
Speaker 1    00:19:55    Uh,  
Speaker 0    00:19:55    Because I know that, but that's  
Speaker 1    00:19:57    <laugh>. My oldest is Philly, Billy William, um, 1964, and Stormy, 1966, and Clayburn 1971. And Clayburn is the only one that doesn't live around here. I lives in Mobile, but he loved farming. And once the farm was sold, he, he knew he couldn't, he just couldn't stay.  
Speaker 0    00:20:25    When was the farm sold? What year was that?  
Speaker 1    00:20:29    Oh, goodness. Uh, Tommy died, uh, I 96 and the farm sold just bef it sold before he died. Mm-hmm <affirmative>. I think that's right. He's been gone 23 years, is that, I think.  
Speaker 0    00:20:45    And what was his birthday?  
Speaker 1    00:20:47    January 14th, 1939.  
Speaker 0    00:20:50    So you were close.  
Speaker 1    00:20:52    Yes, we were. He was just a little bit older. <laugh> uh, Clayburn was born on his birthday, too.  
Speaker 0    00:20:58    Oh, that's amazing.  
Speaker 1    00:20:59    I said, well, I don't know what to give you for your birthday, so here's Clayburn.  
Speaker 0    00:21:07    And then he loved to farm, so that was perfect. Yeah,  
Speaker 1    00:21:10    He did, he loved to  
Speaker 0    00:21:11    Farm. And does he farm now?  
Speaker 1    00:21:13    No, he doesn't. But he had a, a leasing for John Deere in Mobile. So he gets to get on the machines, and every time they have a hurricane, of course, he, he makes the deals to get the equipment out to people, leases as well. Mm-hmm <affirmative>. Sometimes sells them. Mm-hmm <affirmative>. But it's not firing to him.  
Speaker 0    00:21:35    Um, besides, uh, doing things with the church, what kind of other social things were there? Um, in the, in the sixties and seventies?  
Speaker 1    00:21:47    Well, there was a lot of, as I said, families, uh, and village events. Um, Middleburg and Upperville of course, shared, uh, in all our gatherings. And it was pretty social. Uh, some were pretty mild, um, the fun, and you met more interesting people. But, um, the things I used to do, Tommy and I used to do, we would always have picnics and things, and the whole family, we wanted the children always with. So we had cocktail parties, but the, the fun things were the picnics we did that were family invited families to come. And the children used to, some of them children to bus children used to ride their ponies over to re and sit on my front porch and have their drink. And, um, you know, their cookies. And as the boys got older, they started working at Air Shere mm-hmm <affirmative>. For Tommy. And he, he even put in a Coke machine, a coke machine down at the barn.  
Speaker 1    00:23:00    And, but he made 'em put their quarters in. Get, it's always a little bit of a twist to it, <laugh>. Um, but we had a lot of boys that worked for us then young boys, the beach boy. Um, a lot of, and as the boys went away to college, they brought back friends during the summer to work with us too, and live at Atri. Mm-hmm <affirmative>. So we had what we called the Boar's Nest was in the corner of the stables near my house, and we fixed it up. So the, it was just a place for all those boys to hang out. Must have been so fun for them. It was fun. And I fed them all. So it was, uh, it was, you know, it was just always activity going on. And the young people really just meant a lot to us.  
Speaker 0    00:23:53    Were there, besides Christmas, were there any other big celebrations in the, um, community that were, um, traditional meaningful <affirmative>?  
Speaker 1    00:24:04    Well, I remember one that I'm not sure it's, uh, one is like the church, the church's, um, fashion show that benefited the church. Mm-hmm <affirmative>. One time. You always had it in different homes. And one time it was an re and it was really fun because Tommy showed his cattle after the fashion show was over, it was the Beauty and the Beast <laugh> sort of thing. <laugh>. It's hilarious. And, um, we had, um, a couple of really fun parties up there with music and dancing. And, um, it was such an easy place to, to do something. And Aunt Helen didn't mind, or, or we did it when she was always out of the country. Mm-hmm <affirmative>. Um, we had a lot of cattle things, um, national cattle things. They wanted to be on the farm, and they'd have picnics and things like that mm-hmm <affirmative>. But as far as, um, the community things went, they were shared at the debuts there, fish fries and things like that. And then we did our picnics and, um, cooked down at the creek in the swimming hole, and the children would swim and we'd have a red eye saloon in the back of the truck. And it was, it was very magic creative.  
Speaker 0    00:25:37    What's the Red Eye Saloon?  
Speaker 1    00:25:38    That was in Tommy's red truck. And that's where he put the Red Bloody Mary's for that morning. And he called it the Red Eye Saloon. Oh, that's, and a big sign in the back.  
Speaker 0    00:25:50    That's really  
Speaker 1    00:25:51    Fun. In the back of his red truck. <laugh>. We weren't too imaginative, but we had fun playing with him.  
Speaker 0    00:25:58    What was he like, Tommy?  
Speaker 1    00:26:00    Oh, he was very outgoing. And he was, um, he was just very well liked. Um, had great friends, and they evolved, you know, as some left when they married and went somewhere else, then others would come in. And we have the same friends. Uh, he didn't hunt like most of the men do. Mm-hmm <affirmative>. But he did a lot of other things that they did that they could share. Mm-hmm <affirmative>. And think 'em right now. But, um, cattle mostly see cattle.  
Speaker 0    00:26:36    They did cattle, um, did they shoot  
Speaker 1    00:26:43    Tommy didn't really, my, my youngest son, Claver is a hunter. He's, he's the one that shoots and he shot with a lot of people. And, um, that's what kept us sort of involved in that group, group of the ones that Right shot. And I, but Tommy was so well liked. And, um, he was very, um, I don't know. He was very good with the community. The children even put him up for Mayor of Upperville one time and plastered posts on the post office wall and <laugh>. They thought he would make a very good mayor, which embarrassed him. But anyway, um, and he stayed in touch with a lot of friends from school.  
Speaker 0    00:27:32    And where did he go to school?  
Speaker 1    00:27:33    He went <laugh>. Well, he went to, uh, Calver School. Warrington, Woodbury, McDonough, <laugh>, finally Haverford in Pennsylvania. And when he finally got his high school diploma, took him a while. <laugh>, he got kicked out a couple of times. He then went to Oklahoma State, which he loved. Mm-hmm <affirmative>. And, um, but he, in his junior year, he dropped out and went to work for a, a big ranch in Texas mm-hmm <affirmative>. And never did Fi finish his. Um, and he was in the National Guard, and he loved the Army. He tried to be a Green Beret, but he couldn't pass the requirements. But he, his father was commander at the Philadelphia troop. And so Tommy was a member of the Philadelphia troop, and he did his duty that way. He loved the Army.  
Speaker 0    00:28:34    And his father, um, stayed in Philadelphia. Yes. And did he travel there and, and visit  
Speaker 1    00:28:39    With him? He would go and visit mm-hmm <affirmative>. He would go, uh, every summer. They would go skiing in the winter. Mm-hmm <affirmative>. Um, but he was really, Tommy was really a Virginian. We went to Philadelphia to talk to them about, they wanted us to come up and live there. And Tommy and I did the tours and did all that talking, and then drove home and said, looked at each other and said, it's just not, it's not us, not the Philadelphia life. The, you know, the city life. Right.  
Speaker 0    00:29:10    What did his father do there? He wanted him to join him.  
Speaker 1    00:29:15    I can't remember whether he asked him to, but I imagine he did. He was in the rubber business, uh, commercial. Um, but he did so many things. Paper. Paper. He was in paper and things like that. Um, a commercial that's just wasn't Tommy.  
Speaker 0    00:29:34    Right. But he was not, it was the Buchanan side. That was from Virginia. Yes. It was the mother's  
Speaker 1    00:29:41    Side. And that's what he had really identified with. Mm-hmm <affirmative>.  
Speaker 0    00:29:47    How old was he when he moved back to Warrenton from Philadelphia when his parents were divorced?  
Speaker 1    00:29:52    About  
Speaker 0    00:29:52    Two. About two. So he really mm-hmm <affirmative>. Grew up  
Speaker 1    00:29:55    Here. Mm-hmm. Mm-hmm <affirmative>. And it, you know, he would go up and try to make it out with, uh, his half siblings. Siblings and all that. But he, he really was a Virginia mm-hmm <affirmative>. And he and his mother were very close.  
Speaker 0    00:30:12    Did she remarry?  
Speaker 1    00:30:14    Uh, twice. Twice. And I knew the, I didn't know. I, Tommy's father and I were very close, but I didn't know the Helen's father who was killed in a car wreck. And then Dr. Howard was the third one. Mm-hmm <affirmative>. And, um, I really liked him too. He was the vet. He was very good to me.  
Speaker 0    00:30:39    And then Helen, uh, grew up with him as well? Yes.  
Speaker 1    00:30:44    Oh, yes. Helen and Mike. Mm-hmm <affirmative>. Mike was the brother. Those three were very close. The children were close mm-hmm <affirmative>. Right at, to toward the end. I mean, Mike just would not face the fact that Tommy was dying. He just wouldn't face it. Mm-hmm  
Speaker 0    00:31:01    <affirmative>. How did he die? Tommy,  
Speaker 1    00:31:02    Tommy died of, uh, lung cancer. And Mike dropped dead of a heart attack after that. And so  
Speaker 0    00:31:12    Short shortly after.  
Speaker 1    00:31:13    Oh, about five years. And Helen is the last, and she's, she's my younger sister-in-law.  
Speaker 0    00:31:23    She's very Sprightly <laugh>.  
Speaker 1    00:31:24    Very sprightly. She does a world of good in the community.  
Speaker 0    00:31:28    She sure does. She still plays tennis, and I know  
Speaker 1    00:31:30    It. Oh, she, and she's just, I was with her yesterday. She's just so enthusiastic. Yeah. And she doesn't just talk it, she does it.  
Speaker 0    00:31:42    And welcoming. I mean,  
Speaker 1    00:31:43    Yes. Very welcoming.  
Speaker 0    00:31:45    You know, I've only been here 20 years, but, you know, everybody was so welcoming when we first came here across the generations. Yes. And it wasn't just, you know, it was people my own age with kids, the age of my kids, but also older people here. The older people really like to see people move here and love it, and Yes. And take part in the community.  
Speaker 1    00:32:07    It's true. It, it's very special. This, this area here. And when I was in the, as I said, I was involved with the church just because it's where I started. Um, the women of the Mary Dean Neville Gill, which was the, at the church, asked me if I would go on the vestry. Mm-hmm <affirmative>. And women didn't go on the vestry, but they asked if I would try to run for the vestry, so there'd be a woman. And so I said, yes. But one of the stipulations that when I was elected was that when the men, after the meeting, when the men went into the living room at the different houses and had their drinks, I would excuse myself, I, so there were rules, right?  
Speaker 0    00:32:59    <laugh>  
Speaker 1    00:32:59    And I went on the vestry twice, and it never changed.  
Speaker 0    00:33:03    Oh. Has it changed now? 'cause there are women on the, the  
Speaker 1    00:33:06    Vestry. Yeah. I don't know whether they have drinks or not <laugh>, but at my, when I was there, that was the stipulation from the ladies. Mm-hmm <affirmative>. The men, they asked me. But that was, that was the rule.  
Speaker 0    00:33:19    Huh?  
Speaker 1    00:33:22    It was 19, yeah. 1960s, seventies. Yeah. The  
Speaker 0    00:33:29    Women, it was the women that didn't want you socializing with their,  
Speaker 1    00:33:33    They just felt that it was, had nothing to do with the fact they were their husbands. It was just not, um, seemly, I guess  
Speaker 0    00:33:42    <laugh> were there a lot more, um, social mores like that here than there are now?  
Speaker 1    00:33:52    I don't, I wasn't, I wasn't aware of, I've always been aware of that one because I think it's so colorful. Right. You know, not that it's, I didn't feel like I was denied. That's I don't drink. Right. But I didn't feel that I was denied. It was just, it's, it is just a colorful part of the community. <laugh>,  
Speaker 0    00:34:13    <laugh>  
Speaker 1    00:34:16    And the church. You know, it was just, it was just one of those, those things. Mm-hmm <affirmative>.  
Speaker 0    00:34:24    How often would you go back to New Mexico when the,  
Speaker 1    00:34:27    Usually, um, always in the summer children. Um, but a lot of times during the year, I would go back, I went back for Christmas one time, but it was hard to leave Virginia. You know, it was really hard to leave Virginia and go back when I couldn't stay. Mm-hmm <affirmative>. And I didn't, I was torn between both. Right. Virginia and New Mexico. Right. When I got to New Mexico, I was just reborn practically, but then I would have to leave it. Right. And then I'd go to Virginia, and then I wouldn't wanna leave Virginia. And I think with Virginia, it was mostly Tommy's family and my friends that held me here. Right.  
Speaker 0    00:35:16    And then your own children.  
Speaker 1    00:35:17    Yes.  
Speaker 0    00:35:18    And their friends and  
Speaker 1    00:35:20    Yes. And their friends too. You know, because as you said, you had things with your children's friends, and that was just part of the norm. Right. It was just family picnics and family parties and, you know, we, we just brought all generational is what you said, and that's true. Right.  
Speaker 0    00:35:40    When you, um, did you use the horses mainly to do the cattle business? Or did you do other things with horses? Mostly  
Speaker 1    00:35:47    The cattle business. Right. Tommy had quit hunting years before he tell me that. The reason was he looked around the field and there were, uh, mostly women, girls, and he no boys. They weren't hunting at the time. That's what he told me anyway. Mm-hmm <affirmative>. I think a lot of it was he was away at school.  
Speaker 0    00:36:06    Right.  
Speaker 1    00:36:07    And, uh, didn't have the opportunity like he did when he lived in Warrenton. Um, I'm still trying to think of where their farm was in Warrenton. Uh, that'll come to me. But  
Speaker 0    00:36:23    The before Meadowville mm-hmm  
Speaker 1    00:36:24    <affirmative>. Mm-hmm <affirmative>. I just can't where on my head. Uh, anyway, uh, once he went away to school. Yeah. That's, you know, and, uh, he was the only one, I think that hunted Helen. Well, Helen showed a lot. Mm-hmm <affirmative>. Mike didn't, he was in the cattle business, but, um, in Tennessee. So there, you know, there it was a farming family too. Mm-hmm <affirmative>. Mm-hmm <affirmative>. And probably did her, my mother-in-law. She did, um, worked with children with the horses and pony club and dogs. She had showed dogs. It was just animals and children. And  
Speaker 0    00:37:15    It was an outdoor sporting. Mm-hmm <affirmative>. Life kind of family. Mm-hmm <affirmative>.  
Speaker 1    00:37:19    Very special. Mm-hmm <affirmative>.  
Speaker 0    00:37:22    And did she have, um, you say she showed dogs. Did she have a special breed  
Speaker 1    00:37:27    Corgis? Mm. Looked like a fox. And she looked like a  
Speaker 0    00:37:31    Fox. Did she, <laugh>?  
Speaker 1    00:37:34    I used to say all the time. She was so close to them that she was starting to look more and more like a fox. Um, and then the corgis, of course are, and I'm waiting to try to find another one when died last year. Mm-hmm <affirmative>. My last one. But, um, she gave the children each corgis, and Stormy had a female, and she went to stay with her grandmother when the bitch, we, and it was just, you know, she brought the children in, involved in it. And again, it's just family involvement  
Speaker 0    00:38:09    That's really special for them. Mm-hmm <affirmative>. My son, um, Kathy asked him over when the dog was, you know, young, and he got a puppy and his favorite dog ever, because he knew the mother. And  
Speaker 1    00:38:24    Yeah. It's just, it is, it's special. It is in Round Deer.  
Speaker 0    00:38:30    It's special to  
Speaker 1    00:38:31    Be able, I'm sure it happens someplace else's. But, uh, and on the ranch for us, uh, you know, I watched Calves being born and MAs bowling and things like that, but they belonged to the Ranch Poll, always made sure that the children had a claim to what they worked for mm-hmm <affirmative>. You know mm-hmm <affirmative>. If they, if she took care of that, uh, dog of hers. And then she had the whelping, she, you know, she was part of the business as far as Polly was concerned. Did  
Speaker 0    00:39:08    She show the dogs or just breed them?  
Speaker 1    00:39:11    Polly showed,  
Speaker 0    00:39:13    She showed,  
Speaker 1    00:39:14    She showed at Madison Square Garden, uh, Canada, Florida.  
Speaker 0    00:39:19    So she traveled all around with these dogs mm-hmm <affirmative>.  
Speaker 1    00:39:22    Before I, before I was married. Mm-hmm <affirmative>. Is what I, I just  
