
People  LS,LS,MCLEOD
Title   Interviewed 2/7/20<br>by Lydia Strohl <https://bloximages.chicago2.vip.townnews.com/loudounnow.com/content/tncms/assets/v3/editorial/0/94/0949ae1e-f8fc-11ee-a606-2f03337f3f5a/6619801190c97.image.jpg?resize=990%2C820>
Speaker 2    00:31:41    Just  
Speaker 1    00:31:41    That one. Oh. He's just active  
Speaker 2    00:31:43    And, and she, uh, it's funny. Lenny Hale had a little cottage over at the Toka someplace and he was sitting on these front porch one afternoon and this cat was starving and jumped in his lap. So he took her to the vet and had her all done and then brought her for me to keep cat. And I get along really well. We don't know how old she is.  
Speaker 1    00:32:08    I had a cat like that. Yeah. We had no idea how old.  
Speaker 2    00:32:12    Well, she, she's a very independent cat.  
Speaker 1    00:32:15    How long have you had her now?  
Speaker 2    00:32:17    I can't remember now. Maybe eight, five or six years. Not, or longer. 10 maybe. Right. So she's, she's an elderly cat. Right.  
Speaker 1    00:32:27    What, how often do you get over to play tennis? Pardon? How often do you get over to play tennis?  
Speaker 2    00:32:34    I have three regular games a week. So that means that you don't have to call every time. Mm-hmm <affirmative>. Just, I had my regular game this morning, obviously was canceled because there was no electricity. Right. Uh, I have a, a match tomorrow playing in the calcu, but I also usually have a Saturday morning game. I have a Monday morning game, a Friday morning game and a Saturday morning game.  
Speaker 1    00:33:04    How many years have you played in the Calcutta?  
Speaker 2    00:33:07    Since it started, I can't remember how long that's been, but we all play every year in the Calcutta. Actually, I wasn't gonna play this year 'cause it takes a lot of time. You have to practice with your partner. And I decided I was gonna give myself a vacation and someone dropped out and they screamed and said, you have to come in to help keep this thing going. So I said, okay. Who  
Speaker 1    00:33:31    Is your partner this year?  
Speaker 2    00:33:35    It's embarrassing. I know her, but I can't remember her name.  
Speaker 1    00:33:38    I can look it up on the sheet, but yeah. Tomorrow maybe I'll come watch.  
Speaker 2    00:33:42    She's, uh, Carla is her name. Carla. We're playing tomorrow at one 30. Oh,  
Speaker 1    00:33:48    Kyla  
Speaker 2    00:33:49    Carla the  
Speaker 1    00:33:50    Professional. That's teacher. Yeah.  
Speaker 2    00:33:52    The instructor. Mm-hmm <affirmative>. Yeah. And her partner dropped out, so to keep her going, so I joined her.  
Speaker 1    00:34:00    She's awfully nice. Mm-hmm <affirmative>. Have you ever won the Calcutta? No.  
Speaker 2    00:34:05    Mm-hmm.  
Speaker 1    00:34:07    <laugh>.  
Speaker 2    00:34:10    I, I just sit, go in and the reason I play in the calcu is we have so many new members and that's a good way to meet 'em because they all play in the calcu. And so I always go in so I can meet all the new members. Right.  
Speaker 1    00:34:28    So you, were you a member of the original tennis club?  
Speaker 2    00:34:33    My husband helped found it. You  
Speaker 1    00:34:34    Did?  
Speaker 2    00:34:36    There were 10 of us and we were borrowing people's courts. And so these 10 men decided they would, they went to the bank and borrowed the money and built two courts. You know where the library is? Mm-hmm <affirmative>. Well, across the street from the library were two tennis courts. And that was the original tennis pool?  
Speaker 1    00:34:55    Yes. My friend lives in that house actually. Oh,  
Speaker 2    00:34:57    Really? That was the Morgan's old house. <laugh>. Right.  
