People  LS,LEE,LEE,LEE
Title   Interviewed 1/28/25<br>by Lydia Strohl <https://middleburgmuseum.org/wp-content/uploads/2025/01/annlee.jpg>
Speaker 1    00:02:33    But, we basically just lived on the farm and my father worked and,  
Speaker 0    00:02:40    You know,  
Speaker 1    00:02:41    Uh, and, uh,  
Speaker 0    00:02:44    Did he have a specialty on the farm?  
Speaker 1    00:02:47    I don't lose,  
Speaker 0    00:02:48    Oh, sorry. Did he have a specialty on the, the farm? Did he work with the  
Speaker 1    00:03:00    He crops or the horses in those days? You know, they planted wheat and corn and everything. Mm-hmm <affirmative>. And he, he, he worked, uh, say with horses, you know, horses pulling the plow, <laugh> Right. Plow the fields and <laugh>, all of that kind of stuff. That's amazing. And then when he moved to Catesby, we moved to Catesby he worked at Catesby he worked with cattle. Mm-hmm <affirmative>. Most of the time. Mm-hmm <affirmative>. But he still did farm work.  
Speaker 0    00:03:35    And had he always been a farmer?  
Speaker 1    00:03:37    Yeah. Mm-hmm <affirmative>.  
Speaker 0    00:03:39    My grandfather was as well.  
Speaker 1    00:03:41    <laugh>  
Speaker 0    00:03:42    And his father.  
Speaker 1    00:03:43    Right, right. Uh,  
Speaker 0    00:03:44    Our family tradition too, um, to work on other people's farms. When you came to the school here, how many kids were there? Was it a one room school house?  
Speaker 1    00:03:57    Well, when I first came, when my sisters, older sisters came, it was a one run, but, but by the time I came, it was, you know, uh, see, we say we started at, well, you know, coming up here. And by the time I came it was two rooms. Mm-hmm  
Speaker 0    00:04:22    <affirmative>. And how many children were there at the time?  
Speaker 1    00:04:27    Well, I would say it was about, uh, about 60. 60. You know, it was under a hundred children. Mm-hmm  
Speaker 0    00:04:38    <affirmative>. But they came from all over.  
Speaker 1    00:04:40    But they came from all over Howardsville and, and, and, um, you know, different places, uh, Randolph's and mm-hmm <affirmative>. Different farms. And they all walked.  
Speaker 0    00:04:55    They all walked.  
Speaker 1    00:04:56    <laugh>.  
Speaker 0    00:04:59    Um, tell me about your family. You had siblings, your mother and father were alive during your growing up?  
Speaker 1    00:05:07    Oh yeah. My, my mother and father. Um, yes. And then I had, uh, it, it was 10 of us.  
Speaker 0    00:05:20    Oh. My  
Speaker 1    00:05:21    <laugh>. But by the time we moved here, they, all the siblings had what was, 'cause I'm next to the youngest mm-hmm <affirmative>. And, um, they had grown up and went on out on their own with jobs and things.  
Speaker 0    00:05:37    Mm-hmm. And did your parents, were they from this area as well?  
Speaker 1    00:05:43    Well, they were from, really from Fauquier. Mm-hmm <affirmative>.  
Speaker 0    00:05:49    And they had come up here just for the work.  
Speaker 1    00:05:52    Yeah. Well, that's what farmers did, you know, hand when you worked on a farm each year or or two, they would move from farm to farm. I don't know why they did it, but that's what they did. <laugh>  
Speaker 0    00:06:10    Yeah. Itinerant from  
Speaker 1    00:06:11    Somehow he got in Loudoun.  
Speaker 0    00:06:13    Right. And be, before he came to Welbourne, he had moved jobs every year.  
Speaker 1    00:06:23    Right. But I, I'm not, I don't know too much about when he was in park here, you know, I was, wasn't on.  
Speaker 0    00:06:32    Right. But then he came to Welbourne and he had a job there,  
Speaker 1    00:06:36    Right. He, for many years. Yeah. Mm-hmm  
Speaker 0    00:06:38    <affirmative>. And how old were you when he went to <Catesby https://www.middleburglife.com/wp-content/uploads/2019/08/DJI_0017-1024x576.jpg>?  
Speaker 1    00:06:42    How old  
Speaker 0    00:06:43    When you, when he went to Catesby?  
Speaker 1    00:06:45    How old was I? I was about, uh, about eight.  
Speaker 0    00:06:53    And when did you move to Willisville?  
Speaker 1    00:06:55    When I was eight. So  
Speaker 0    00:06:56    About, you lived at Welbourne and then you came down here. Tell me about Willisville at that time.  
Speaker 1    00:07:04    Well, <laugh> Willisville was just Willisville like, um, because we still have the dirt roads and, um, it was a bunch of children, <laugh>, you know. And, um, we all, you know, we raised all of our food. We raised chickens, hogs, and that kind of stuff, you know? Mm-hmm <affirmative>. And, um, our parents had, uh, we had to help, you know, with the housework or whatever needed to be done. We were well taught how to do <laugh>, how to run a house when we went out on our own.  
Speaker 0    00:07:52    Right. How many, when you moved here, how many children lived with your parents still?  
Speaker 1    00:07:59    It was, um, it was about the five, five of us. Yeah. In the mountain.  
Speaker 0    00:08:13    And how old was the oldest?  
Speaker 1    00:08:17    Well, we all were close together. You were? Yeah. <laugh>. Well, the, the oldest would, uh, she was about, uh, I, I can't quite figure out how old she was when we moved yet, but she was a teenager. She wasn't, she wasn't going to school.  
Speaker 0    00:08:38    He wasn't mm-hmm  
Speaker 1    00:08:40    <affirmative>. And what, because we just had, when, when, uh, and when they come along, it wasn't no high school for black kids, you know? Unless you had to.  
Speaker 0    00:08:53    Right. Unless you went, went to Washington.  
Speaker 1    00:08:57    Washington, no. Some, yeah.  
Speaker 0    00:09:02    Right. That was up to like what, eighth grade then?  
Speaker 1    00:09:09    Up to seventh grade.  
Speaker 0    00:09:10    Seventh grade? Mm. Up to seventh grade. And then what did she do?  
Speaker 1    00:09:15    Well, then she, you know, she would do house you. That was not, that's what you do with her. You know, you either did housework or, you know. But my mother, she had a stroke early in life. And, and this sister would all of, she was the one who stayed home and took care of her.  
Speaker 0    00:09:39    Right.  
Speaker 1    00:09:40    While the others went to work  
Speaker 0    00:09:42    And helped with all of you. Mm-hmm    
Speaker 0    00:09:44    <affirmative>. Yeah. So your mother stayed home? She didn't work?  
Speaker 1    00:09:48    Uh, my mother went.  
Speaker 0    00:09:52    She didn't work then?  
Speaker 1    00:09:53    No. She, she didn't work? None.  
Speaker 0    00:09:57    Well, how, how did the stroke manifest itself?  
Speaker 1    00:10:01    Well, all in the left side. Right. But she could do everything, you know, washing iron, because we iron on the cook stove, you know, we had wood stores. Right. And then, uh, and she, she, she could, she learned, she, she did everything.  
Speaker 0    00:10:21    How old was she when she had the stroke?  
Speaker 1    00:10:24    She was in her late, late forties.  
Speaker 0    00:10:31    That's young. Mm-hmm    
Speaker 0    00:10:36    Is this the house then that you lived in?  
Speaker 1    00:10:38    This is the house we lived in. Yeah. But it didn't, it it was, it didn't look like this, you know, it was, uh, it was bigger. And, and then, then back in sort of fell off, like, and then, um, as time, you know, after my parents passed on, always somebody lived here in the family, you know? 'cause there was somebody, one of the sisters or whoever had to take care of my mother. Right. And when we married and we moved away, you know, but it was always some family member living there. <laugh>? Mm-hmm <affirmative>. So, um,  
Speaker 0    00:11:34    What were your parents' names?  
Speaker 1    00:11:36    My mo mother's name was Nanny. And my father's name was Ernest.  
Speaker 0    00:11:41    Ernest Brooks?  
Speaker 0    00:11:44    And how old were you when you married and moved away?  
Speaker 1    00:11:50    How old was I? I, I, I was about 18 when I got married.  
Speaker 0    00:11:56    And did you marry a local man?  
Speaker 1    00:12:00    I, I, he was from, uh, <Leesburg @39.11368,-77.56691,13>.  
Speaker 0    00:12:03    And how did you meet?  
Speaker 1    00:12:06    Well, I guess we met at a dance <laugh> when, um, it used to be a little store. You, you, you, you know the storehouse up here. Mm-hmm <affirmative>. And that had a, uh, used to on Saturday nights and things, you could go there and dance and, you know, <laugh>. So I think that's probably where I met 'em. Yeah.  
Speaker 0    00:12:31    And people came from all around. Mm-hmm <affirmative>. And what was the music? Did people play music or did they play records?  
Speaker 1    00:12:38    They played, they had a jukebox play records.  
Speaker 0    00:12:41    That's fun. And how  
Speaker 1    00:12:42    Many, somebody put quarter in it.  
Speaker 0    00:12:45    And how many people would show up on a Saturday night?  
Speaker 1    00:12:49    Well, it, it would be quite a few <laugh>. Yeah.  
Speaker 0    00:12:53    People wanted to get out and  
Speaker 1    00:12:55    Socialize. They wanted, had a place, you know, some place to go,  
Speaker 0    00:12:58    Right? Yeah. Right.  
Speaker 1    00:13:00    Mm-hmm <affirmative>.  
Speaker 0    00:13:01    And that was just Saturday nights? Or was that pretty much, was that a,  
Speaker 1    00:13:05    Well then, then the store run through the day, you know mm-hmm <affirmative>. Mm-hmm  
Speaker 0    00:13:10    <affirmative>. And then they had a dance in the evening. Did they have a restaurant or any kind of food or drinks there?  
Speaker 1    00:13:17    They had drinks, you know? Mm-hmm <affirmative>. They sold food, canned food and stuff like that, you know.  
Speaker 0    00:13:26    Um, what, when you were growing up, what were the celebrations that your family, uh, had together in the community?  
Speaker 1    00:13:41    Oh, I don't think we had any community celebrations. We used to have celebration at church. Like, uh, we used to have, um, anniversary and, uh, and family and Friends Day. You know, those every year.  
Speaker 0    00:14:01    I don't know about that. What that is, that a  
Speaker 1    00:14:05    Family and friends, you know, when you are away from home, you all come back to church. You know, when you grow a reunion, grow up and move away. <laugh> and your fam family and friends. And we would come and we'd have dinner and, and, um,  
Speaker 0    00:14:20    That's a really nice tradition.  
Speaker 1    00:14:22    Right. Right.  
Speaker 0    00:14:23    And you would have dinner at the church?  
Speaker 1    00:14:25    We have done at the church. We had it on the, on the yard, you know mm-hmm <affirmative>.  
Speaker 0    00:14:31    And so it was just a big reunion where everyone  
Speaker 1    00:14:33    Big reunion. Yeah. That's  
Speaker 0    00:14:35    So fun. Mm-hmm <affirmative>.  
Speaker 1    00:14:35    Mm-hmm <affirmative>.  
Speaker 0    00:14:36    And what were the, your favorite foods growing up that everybody made here?  
Speaker 1    00:14:43    Well, we all, I mean, that was, I was young, growing up with that. The families would cook, you know, cook the food. Mm-hmm <affirmative>. You know, then when I grew up, I, I cooked it <laugh> and helped to cook it. <laugh>.  
Speaker 0    00:15:01    What kinds of things did you  
Speaker 1    00:15:02    Have? Well, we, because we always had chicken, because, you know, chicken come off the yard. Right. And, um, in the earlier days, but not in the later days, we always had chicken string beans or whatever was in the garden. And ice cream. And we had ice cream truck. They would bring ice cream.  
Speaker 0    00:15:29    Where did they come from? Mm-hmm <affirmative>. They just would come and park and sell ice cream?  
Speaker 1    00:15:35    No, he didn't park. He would leave it.  
Speaker 0    00:15:38    I see.  
Speaker 1    00:15:38    He, he, and then we would, uh, he was, um, we also didn't have Fri gas in the beginning. We had ice box, you know, big hundred pound of ice, <laugh>. And, uh, then he would, he would bring the ice and  
Speaker 0    00:15:59    He'd bring the ice  
Speaker 1    00:16:01    Ice cream and the cream cream. And he would bring the, the ice to our homes, you know? Mm-hmm  
Speaker 0    00:16:07    <affirmative>. And it came in big blocks.  
Speaker 1    00:16:08    Big big blocks. And I remember he used to carry it on his shoulder. And I often wondered, did he ever have problems?  
Speaker 0    00:16:17    <laugh>? Right. Had to shift from side to side.  
Speaker 1    00:16:20    Mm-hmm <affirmative>.  
Speaker 0    00:16:22    Um, did you have dairy from locally or did someone bring that as well?  
Speaker 1    00:16:29    I think it was from, I think it was from Winchester. Mm-hmm  
Speaker 0    00:16:34    <affirmative>. And someone brought that as well. Yeah. Did you go anywhere to shop besides the store here? We,  
Speaker 1    00:16:39    We would go to Middleburg <shopping https://middleburgmuseum.org/wp-content/uploads/2025/01/274343787_1985620061624590_4310617815034986271_n.jpg>.  
Speaker 0    00:16:42    Mm-hmm <affirmative>. What were the places in Middleburg that you went at that time?  
Speaker 1    00:16:49    Well, we usually just had to get, you know, because we raised everything, you know? Right. We raised a big garden and candle, all the, all the, all the vegetables and the fruit trees grew plentiful around here. And you would, we would pick berries and cherries and, uh, apples and all that. And we canned a lot of stuff to, to prepare for the winter. Mm-hmm <affirmative>. Mm-hmm <affirmative>. And so you only needed stuff like flour, sugar, and <laugh>. And my mother and my older sister, they made their own bread. And  
Speaker 0    00:17:35    I bet it was good. 
Speaker 1    00:17:36    It Wasn't <laugh>,  
Speaker 0    00:17:37    It wasn't, did they, um, did you go to Middleburg often?  
Speaker 1    00:17:46    They would, they would not have to go, but once a month, because, you know, we didn't, my father had a car in the earlier years, but later years we had no car. But, uh, but people in the village, you know, they would take you to the store. But we, we didn't have to go once a  
Speaker 0    00:18:09    Month. Right, right.  
Speaker 1    00:18:12    It was maybe twice a month, you know? So we were right out the list, what they wanted.  
Speaker 0    00:18:21    And the church was built while you were here?  
Speaker 1    00:18:24    The church was built that, I think it was, um, a couple years before I was born and  
Speaker 0    00:18:32    Mm-hmm <affirmative>.  
Speaker 1    00:18:34    And, but the church is always here. When I moved here.  
Speaker 0    00:18:38    And the, does the, um, pastor live here in the, in the  
Speaker 1    00:18:45    Building? No. Well, they had different pastors come in. Mm-hmm <affirmative>. And, and then it was on a charge. Middleburg, Uppervile, and then Willisville. And they, they have a Possy in Middleburg. Mm-hmm <affirmative>. So the, the pastor is still in Middleburg, and the pastor still lives there  
Speaker 0    00:19:11    And comes through and,  
Speaker 1    00:19:14    And he  
Speaker 0    00:19:14    Preaches at different services. He,  
Speaker 1    00:19:16    He's, he has church. Yeah. And Uppervile Church is closed up. And so is Mulford Church in Methodist Church.  
Speaker 0    00:19:25    Really?  
Speaker 1    00:19:26    Mm-hmm <affirmative>. The black church. And, uh,  
Speaker 0    00:19:30    Were those big, uh, congregations in the past?  
Speaker 1    00:19:35    They were pretty big then. Stink Boat. Yeah.  
Speaker 0    00:19:40    That's, we have those in  
Speaker 3    00:19:42    House too. You have a,  
Speaker 0    00:19:45    You have a tissue  
Speaker 3    00:19:46    Box.  
Speaker 1    00:19:47    I thought I had a Kleenex here. There's table towel though.  
Speaker 3    00:19:55    Oh, I see it.  
Speaker 0    00:20:00    I think it just got so warm. They  
Speaker 3    00:20:02    Think they can come in.  
Speaker 0    00:20:12    Sorry. Have you go.  
Speaker 3    00:20:34    Okay.  
Speaker 0    00:20:35    So what year were you married?  
Speaker 1    00:20:39    What year was when?  
Speaker 0    00:20:40    I, were you married?  
Speaker 1    00:20:41    When I married, it was in, in the forties. 45 I think it was.  
Speaker 0    00:20:47    Mm-hmm <affirmative>. And did you have a celebration for the wedding?  
Speaker 1    00:20:51    No, <laugh>. We just married <laugh>.  
Speaker 0    00:20:54    In the church, or at the  
Speaker 1    00:20:55    Register? No, I just went to the Justice of Peace. Mm-hmm <affirmative>. Mm-hmm <affirmative>. And we didn't, we couldn't afford to <laugh>.  
Speaker 0    00:21:04    And what was your husband's name?  
Speaker 1    00:21:06    His name is Charles. We call him Charlie.  
Speaker 0    00:21:10    Yeah. Mm-hmm <affirmative>. That's a great name. And then you didn't live here. You moved.  
Speaker 1    00:21:17    Huh?  
Speaker 0    00:21:18    You moved then?  
Speaker 1    00:21:21    I, I, I moved then when I got married. Yeah.  
Speaker 0    00:21:24    And where did you move to?  
Speaker 1    00:21:26    It was, it was a little house, right next door, but it's, they tore it down and I moved in that <laugh>. So  
Speaker 0    00:21:39    You didn't move far? I  
Speaker 1    00:21:40    Didn't move. I didn't move far from, I went way to the city when, before I got married, but I didn't like the city until when I came back country. And after the, after I married, I just moved around here. You know, I didn't, I didn't like to city.  
Speaker 0    00:22:02    Why did you go to the city and when was that?  
Speaker 1    00:22:05    Well, within those times to get, my older sisters would go to the city and they, they get jobs and get good jobs and,  
Speaker 0    00:22:15    Right. And so you had, and when you say the city, which city do you mean?  
Speaker 1    00:22:22    Yeah,  
Speaker 0    00:22:22    Where did you go?  
Speaker 1    00:22:24    They went to, uh, New Jersey and, uh, uh, Philadelphia.  
Speaker 0    00:22:32    And where did you go?  
Speaker 1    00:22:34    I went there, and then I went to Maryland. And, you know, I tried different places. <laugh>, but I mean,  
Speaker 0    00:22:42    And you, so you got jobs in different places?  
Speaker 1    00:22:46    I've got jobs. And  
Speaker 0    00:22:47    What kind of work did you  
Speaker 1    00:22:49    I, I, I'm just a babysitter. I didn't stay very long. <laugh>,  
Speaker 0    00:22:54    <laugh>,  
Speaker 1    00:22:55    I don't like that. I don't like the city. And so I like the open country. And, uh,  
Speaker 0    00:23:04    What was it that you didn't like about the city?  
Speaker 1    00:23:07    I don't, I didn't like, I don't, like, I mean, you jammed up on each other and, you know, and it's noisy and, and, and quite now it's unsafe. <laugh>, you know, I don't lock my door out here now, but  
Speaker 0    00:23:27    Right.  
Speaker 1    00:23:28    I guess I should <laugh>.  
Speaker 0    00:23:31    And then you continued to take care of children when you were Yeah. Back, back here?  
Speaker 1    00:23:36    Mm-hmm <affirmative>. Then, then after, when I had, you know, my children came along, my husband was work with horses, and then I, you know, when I could work, I worked, uh, uh, in, you know, taking care of, of, uh, children and, uh, taking care, the houses, you know?  
Speaker 0    00:24:03    Mm-hmm <affirmative>. Where did your husband work?  
Speaker 1    00:24:07    He, he worked at the training track in, in Oh, right there. Mm-hmm <affirmative>. Right. And then he would go away to the, the Maryland and different places to the race, something. Mm-hmm <affirmative>.  
Speaker 0    00:24:20    So he was, was he, uh, exercise? Did he train?  
Speaker 1    00:24:26    No, he, he just mucked, you know,  
Speaker 0    00:24:29    He took care of the Yeah. Whatever they needed.  
Speaker 1    00:24:33    Whatever. I think you called them grooms.  
Speaker 0    00:24:35    Like grooms. Mm-hmm <affirmative>. That's a great profession. Mm-hmm  
Speaker 1    00:24:40    <affirmative>.  
Speaker 0    00:24:41    Had he grown up with horses?  
Speaker 1    00:24:43    Huh?  
Speaker 0    00:24:44    Did he grow up with horses?  
Speaker 1    00:24:46    Yeah.  
Speaker 0    00:24:48    So that was,  
Speaker 1    00:24:49    And he was very good. <laugh>. Yeah.  
Speaker 0    00:24:52    And did he work for certain people, or when you worked at the track, he worked for owners, didn't you?  
Speaker 1    00:25:00    Yeah. Then, you know, like, uh, uh, ley White, do you know him? And anyway, he has a farm down there. He would work, come back and work on the farm with the horses, you know?  
Speaker 0    00:25:18    Mm-hmm <affirmative>. And he had done that in Leesburg as well. Work with horses?  
Speaker 1    00:25:24    No, the, um, there's no farms, right? In Leesburg. <laugh>.  
Speaker 0    00:25:30    Oh. He grew up in  
Speaker 1    00:25:31    Leeburg, but I think he lived in the country. But it was Leesburg address,  
Speaker 0    00:25:37    Right? Mm-hmm <affirmative>. Right. I don't think Leesburg was the way it is now. Right.  
Speaker 1    00:25:42    Probably at  
Speaker 0    00:25:44    That point. And his family was still in Leesburg when you married?  
Speaker 1    00:25:49    They, yeah.  
Speaker 0    00:25:50    And did you see much of them? Did you visit back and forth?  
Speaker 1    00:25:54    We visited some, but you know, not, not really that much. Right. But his family moved all around. You know, some of 'em lived in Washington and, uh, Leesburg and, um, uh, different places. 'cause he, he came from a big family too. And then, you know, his mother, father died, you know, his father died young when he was real young, died. I think they said when the flu was going around, or some cases, bad cases of flu. His father died. And, uh,  
Speaker 0    00:26:37    Was he the same age as you, Charlie?  
Speaker 1    00:26:41    No. He, he was young. And he, he, you know, you know, in those times, if, uh, if your sister didn't have children, they would help you to raise you.  
Speaker 0    00:26:56    Right.  
Speaker 1    00:26:59    So that's what they did. So  
Speaker 0    00:27:01    They grew up with just one  
Speaker 1    00:27:02    Big family, all taking care of each other. Mm-hmm. Mm-hmm  
Speaker 0    00:27:05    <affirmative>. What year was he born?    
Speaker 1    00:27:12    In 19, I think He was 
Speaker 1    00:27:16    I think it's 1960, because he's 10 years older than I,  
Speaker 0    00:27:22    1960.  
Speaker 1    00:27:23    I think that's, if I can't remember <laugh>.  
Speaker 0    00:27:29    So he was older than you at the time?    
Speaker 0    00:27:37    And did you build the house next door?  
Speaker 1    00:27:43    Oh, no, no, no, no, no, no, no, no. We, we were just young kid, <laugh> young, you know, just 18. We just rented the house. Oh, you  
Speaker 0    00:27:53    Rented  
Speaker 1    00:27:53    The house? We rented.  
Speaker 1    00:28:02    We moved, um, then I, we, we moved on at, uh, Canfield. I don't know where, you know, where Canfield.  
Speaker 0    00:28:12    Oh, where's that?  
Speaker 1    00:28:13    That's, um, it's right up the road, about half a mile. And then it turned about, you know, it's not very far. And we moved, could work for Jordan. Bentley. Mm-hmm <affirmative>. <inaudible>. And worked on the farm, you know, and had a house and everything, <laugh>. And that's where, uh, we kind of stayed more or less until the children, you know, grew up and went out on the own. The different people bought the house. And, but we just, I just stayed with them, you know, different people. And, um, and then, then I, um, when I did work, I worked for, I would always, as a child, I was always attracted to well,  
Speaker 1    00:29:17    Yeah. And, because there was a lady that had worked at, well, and she had a little girl, and I would go down and babysit, you know, that child. I was always attracted to Welbourne.  
Speaker 1    00:29:33    And I think probably when I was still living here, Welbourne was my first job.  
Speaker 0    00:29:41    And when you babysat there?  
Speaker 1    00:29:44    No, it wasn't at, at Weldon. It's a big house. It was my first job when I got old enough to work,  
Speaker 0    00:29:51    Was working down there. Mm-hmm. And what did you do at Weldon?  
Speaker 1    00:29:55    Oh, I, I, I worked, uh, at Saturday Table and had the bed. I worked as a maid. Mm-hmm <affirmative>.  
Speaker 0    00:30:04    It's a beautiful place for mm-hmm <affirmative>.  
Speaker 1    00:30:08    And then, then even though I would, uh, off and on, I would always go when they needed somebody. Well, and I would, you know, go to well, and then when they finally sold the Penfield the last time, and I decided to not to stay. And so I, this house, so we didn't own this house, you know, we rented it. Right. So when the, this house came up for sale, my sisters, by that time, they, my sister was, my parents was passed on, and my sister was building a house in San Louis, and she didn't want it. And then my other sister's building house later in San Louis, and she didn't want it. My brother built a house in San <laugh>, and so I bought this house.  
Speaker 0    00:31:14    And when was that?  
Speaker 1    00:31:15    That was in, I'm not good with the dates. It seems about 20 something years ago. I mean, I got it down on paper, but  
Speaker 0    00:31:36    It's not important. Um, when, tell me about your children. How many children do you have?  
Speaker 1    00:31:46    Um, I'm the mother of eight. Two.  
Speaker 0    00:31:50    And they were, I brought this pen right here. So you have one, someone must have stolen one. Do you mind if I use this? Yes.  
Speaker 1    00:31:58    No.  
Speaker 0    00:31:59    Um, uh, I wanna write them down. Tell me about your children and what their name and what year they were born,  
Speaker 1    00:32:10    What they, what they did,  
Speaker 0    00:32:11    What year were they born?  
Speaker 1    00:32:14    Oh my goodness. I'm not, I can't remember.  
Speaker 0    00:32:17    Okay. Just the oldest one. <laugh>.  
Speaker 1    00:32:20    My oldest. My oldest, his name is Tommy. Mm-hmm  
Speaker 0    00:32:24    <affirmative>.  
Speaker 1    00:32:27    And, um, and, um, Tommy would be, I just looked at it the other day. If you had had warned me, you know, I could gave you, I tell  
Speaker 0    00:32:52    How old were you when your first child was born?  
Speaker 1    00:32:54    I was 18. You  
Speaker 0    00:32:56    Were 18? Mm-hmm <affirmative>. So I can figure that  
Speaker 1    00:32:59    Out. Mm-hmm <affirmative>. And then, then, then the next child is Charlotte. <affirmative>. And, and, and as I say, the next child is Linda. And, and the next one is county. Now it's only about, uh, a year and a half or something between those children. Mm-hmm <affirmative>. And then, then the next one is Charles, to, which would be at least four years. And, uh, and then, then the next one is the, uh, the Carol. And then the next one is Joyce.  
Speaker 0    00:33:51    Lots of girls.  
Speaker 1    00:33:53    Uh, and then, and the next one, I had a baby named Mark that he died at, uh, seven months.  
Speaker 0    00:34:05    I'm sorry. And that, that was the youngest.  
Speaker 1    00:34:09    Mm-hmm <affirmative>.  
Speaker 0    00:34:11    So predominantly you had a house full of girls?  
Speaker 1    00:34:14    I had <laugh>. I had 2, 3, 3 boys. Mm-hmm <affirmative>. He was a boy. Mm-hmm <affirmative>. Three boys and,  
Speaker 0    00:34:21    And five girls. Mm-hmm.  
Speaker 1    00:34:24    Mm-hmm  
Speaker 0    00:34:24    <affirmative>. So you had a lot of little ones around at once?  
Speaker 1    00:34:28    Yeah, I had a lot of little ones around at once. And then, and then, um, but it, it, those, those, you know, it was, everybody had children, <laugh>. And, um, so we, um, and as my children grew up, um, couple of 'em went away to Jersey, you know, for better jobs. Mm-hmm <affirmative>. Although when they went to high school, but there still was better jobs in the city. And, and then, then the others just worked around here. Car did catering. And, uh, she lived right next door. You know, she's the one that passed, right? Mm-hmm <affirmative>. And, uh, Charles works for cricket, you know, Creek? Mm-hmm <affirmative>. Uh, Joyce lives in Sterling. And, um, Linda's passed on. Tommy has passed on. Um, and that's,  
Speaker 0    00:35:52    And what, was there family in New Jersey? You've mentioned several times that people went  
Speaker 1    00:35:57    To? Well, they, they went, um, they went with my older sister, you know, but, but they, they more or less went on the, you know, got jobs on their own. They were very good jobs. They very, you know, one of 'em worked for Prudential Insurance, and all of them worked at, uh, she had a very good job. I can't, uh, remember what she worked, had a, they, they were, you know, and  
Speaker 0    00:36:35    So by the time they, they were able, they went to high school.  
Speaker 1    00:36:42    Yeah.  
Speaker 0    00:36:42    After mm-hmm. Did they still go to school here?  
Speaker 1    00:36:45    They did. Well, the older children did. Tommy and Charlotte. And, uh, well, I don't, Linda made, went, but, but by that time, they integrated, you know, to schools. And they built a school in San Louis. Mm-hmm <affirmative>. And, um, so they closed the school.  
Speaker 0    00:37:09    And when they, did they take a bus to school?  
Speaker 1    00:37:14    Yeah.  
Speaker 0    00:37:15    Or did they walk? Mm-hmm  
Speaker 1    00:37:16    <affirmative>. That's far. They did. They give us buses right there.  
Speaker 0    00:37:19    Yeah. Yeah. So they would get on the bus and go away and,  
Speaker 1    00:37:23    Right. <laugh>,  
Speaker 0    00:37:25    Did they take their lunch or did you have to make them all lunch? No,  
Speaker 1    00:37:27    They did lunch, you know, at school.  
Speaker 0    00:37:30    They did lunch at school.  
Speaker 1    00:37:31    They did, we, when was down here, they either come home or, you know, we, we'd either come home or we took, took our lunch, you know. But mostly we'd come home. Mm-hmm  
Speaker 0    00:37:42    <affirmative>. Mm-hmm <affirmative>. What, um, it are, what's the gathering point here? The place where the dance is, is gone. Is the church the gathering point here now in the community? Is the church the gathering point now in the community? Would the school gone and the market gone?  
